id,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9562,61.0,1.24308829980809,0.004021613200004146,0.2665320161611042,6.0,27.0
9563,61.0,1.2138128869717817,0.004334948752062279,0.2365954309353548,5.0,39.0
9564,48.0,1.2268098030476553,0.0029910832126454037,0.18165495489412067,7.0,42.0
9565,62.0,1.2525425541315083,0.0030327905121157635,0.18130058165226143,7.0,42.0
9566,54.0,1.0737824964902987,0.0052617787223917314,0.22595441833903754,7.0,0.0
9567,48.0,1.3438259393435261,0.004156139780587648,0.29250195716295097,7.0,38.0
9568,52.0,1.3189420195709594,0.004331888596757411,0.3208622139815911,7.0,41.0
9569,61.0,1.4086403147608053,0.005516405971128652,0.32645796899514645,5.0,42.0
9570,43.0,1.4152946561095354,0.005559117707841694,0.33276269693141813,7.0,30.0
9571,56.0,1.435296320493534,0.005006549632360363,0.3658133931142207,7.0,41.0
9572,59.0,1.4642867642661628,0.0034795677345376003,0.3755994467886644,6.0,5.0
9573,58.0,1.1326865922138118,0.0030428542917354516,0.14794169038970967,6.0,42.0
9574,60.0,1.2301900754782573,0.00345092729437673,0.24726872619337784,5.0,42.0
9575,50.0,1.1751832701330542,0.004125288354007231,0.20280348000010748,7.0,42.0
9576,55.0,1.2235731698958545,0.005567683126330438,0.18034339847315217,6.0,24.0
9577,57.0,1.3328538508986627,0.005202405895815248,0.255966283410588,4.0,41.0
9578,57.0,1.4006761433319481,0.004638795916783082,0.3996532044921718,3.0,38.0
9579,58.0,1.1619259894226808,0.00417494871594479,0.1597447611152194,6.0,39.0
9580,61.0,1.264812792207347,0.005017427899555426,0.24310537912310043,5.0,42.0
9581,58.0,1.4591518976997895,0.00325832102551585,0.37353448556148805,5.0,18.0
9582,60.0,1.3100231967756097,0.004202625515965851,0.2704490798815912,5.0,38.0
9583,54.0,1.388058071324923,0.003936762333811915,0.28707615965156075,6.0,34.0
9584,62.0,1.3930202248754817,0.00489461523302148,0.33522897145591696,7.0,35.0
9585,53.0,1.2441798047742636,0.0049950478856249725,0.2560362673588375,6.0,33.0
9586,61.0,1.4026226002637532,0.005620815211892169,0.3189665698377517,6.0,15.0
9587,61.0,1.4826978047339492,0.00385516723888721,0.36492450347058547,5.0,28.0
9588,58.0,1.3538863205288652,0.007197339206123127,0.3127662495014855,6.0,38.0
9589,62.0,1.333350909208397,0.00447490314486419,0.29750495048708175,5.0,17.0
9590,58.0,1.429055806063577,0.004008143473822833,0.33787166330051827,4.0,19.0
9591,58.0,1.1539757154660422,0.004592554672443175,0.18312807458632968,6.0,39.0
9592,61.0,1.2004749366529204,0.004743657687686887,0.24827911343880393,7.0,38.0
9593,60.0,1.4818959126128797,0.006125762121699655,0.3553827142038683,4.0,7.0
9594,60.0,1.2624199606012696,0.004331920718658582,0.286576292782334,6.0,34.0
9595,53.0,1.1632769782151255,0.005346536283652565,0.1899452613764334,7.0,11.0
9596,54.0,1.1386040657735161,0.00359508887985402,0.1986777576015237,6.0,30.0
9597,55.0,1.3480767397429338,0.003986354824303288,0.29184221470119026,6.0,34.0
9598,59.0,1.301982005711695,0.005831058284549805,0.26797250385829924,6.0,41.0
9599,60.0,1.343861930369956,0.004293216979181168,0.27832746715235185,7.0,42.0
9600,59.0,1.2446174566404329,0.004865239917142595,0.23954345808184752,6.0,28.0
9601,61.0,1.1899086283900318,0.006128358516079707,0.2640649639750774,5.0,38.0
9602,54.0,1.2246819313123138,0.004455840392514001,0.25542293771324937,7.0,12.0
9603,55.0,1.4642461450319244,0.006336919117286723,0.31860846518209157,6.0,36.0
9604,61.0,1.4593842511079789,0.006960282297381144,0.3719852126423474,6.0,11.0
9605,44.0,1.132772500960407,0.0053094251414424675,0.19536378284660602,7.0,38.0
9606,58.0,1.3706488965448802,0.0038202308457963336,0.31369783418854397,7.0,42.0
9607,61.0,1.3553591723810212,0.005615531801887531,0.32997546282392126,7.0,9.0
9608,61.0,1.2550384476438514,0.003393854778440017,0.25738938094553127,7.0,17.0
9609,61.0,1.315568440709702,0.005946969181109739,0.2931988164285485,5.0,26.0
9610,57.0,1.3453520510149475,0.005372041751024718,0.3304476822419788,6.0,42.0
9611,59.0,1.440688519470668,0.005014623325261082,0.34766108549117297,7.0,42.0
9612,63.0,1.4566328363646779,0.004506337673142831,0.34780564158089755,7.0,34.0
9613,56.0,1.1497858437848711,0.00324503117693939,0.15510597930567566,6.0,42.0
9614,46.0,1.1579466118366033,0.004041671622413981,0.18137642716685623,7.0,36.0
9615,51.0,1.3706787559037052,0.005566098232577116,0.341025273472124,7.0,26.0
9616,54.0,1.1544033576128012,0.004404305967460707,0.23001038825499825,7.0,34.0
9617,59.0,1.155872331413131,0.0045371814389764615,0.16593462444188314,7.0,40.0
9618,58.0,1.221803000324659,0.00532812862621168,0.25784324124816327,5.0,13.0
9619,53.0,1.130826270588676,0.004533888322517312,0.25037476448589446,7.0,19.0
9620,57.0,1.3732985559907396,0.004680143724159308,0.2800774189428445,7.0,42.0
9621,62.0,1.2482134440368942,0.003967616790747482,0.18002227811246138,6.0,42.0
9622,54.0,1.5037322228736876,0.003217615516575701,0.36822615973151485,6.0,42.0
9623,54.0,1.401148564635956,0.004410928328807464,0.35761154957760044,7.0,12.0
9624,62.0,1.233772858438492,0.003642593487095264,0.2123256407434364,4.0,27.0
9625,52.0,1.2459449344019664,0.0033561768432118144,0.2457992251992702,6.0,37.0
9626,53.0,1.4683295208473857,0.004189034982577135,0.33572561684151747,6.0,22.0
9627,57.0,1.2772373956205634,0.004013267216177852,0.26821774622238026,6.0,26.0
9628,59.0,1.14697687856725,0.003718120511320578,0.20892425519908525,6.0,42.0
9629,52.0,1.571401654632297,0.0032088506546605884,0.3843054236448369,7.0,35.0
9630,61.0,1.1367523491506966,0.004668196433286564,0.2522606242239747,6.0,10.0
9631,54.0,1.0532084553794627,0.004437058857484469,0.1994931151179835,7.0,34.0
9632,63.0,1.130439011662903,0.00313882702056275,0.13170515256973775,7.0,41.0
9633,57.0,1.2461924736632912,0.005030295586164491,0.2714302915627774,5.0,30.0
9634,60.0,1.4416936124769721,0.005383927556412618,0.3294494645918665,5.0,42.0
9635,60.0,1.1781056822456952,0.0032342258172385857,0.1805621529540659,6.0,22.0
9636,60.0,1.248041770358033,0.0037926145283952175,0.2673264460547509,5.0,30.0
9637,51.0,1.2982178148554666,0.005223462783899475,0.2745718496472866,7.0,14.0
9638,51.0,1.3161007805873344,0.0033875901112301325,0.29207784374726836,7.0,41.0
9639,60.0,1.4099085940189606,0.004618957098193286,0.35544524931354204,6.0,1.0
9640,58.0,1.1692098441157766,0.004982028034019938,0.2212167895229599,7.0,29.0
9641,60.0,1.2987624989346473,0.004611398645036335,0.27638672683423177,6.0,5.0
9642,62.0,1.4469770619258409,0.005437638042640629,0.3103501363699409,5.0,41.0
9643,59.0,1.085562386925766,0.004007912630671791,0.14882595223228692,7.0,37.0
9644,52.0,1.2498665198112158,0.0052998744523888785,0.2618347310462137,7.0,42.0
9645,59.0,1.2887075787637694,0.005469843083358291,0.2791229693963345,7.0,24.0
9646,61.0,1.526965438782849,0.0035981505091254896,0.3766847896995306,7.0,42.0
9647,59.0,1.2461651175933937,0.004477278189687908,0.28927937506458734,7.0,15.0
9648,47.0,1.3190883947738028,0.005404479620836426,0.2799606949256707,7.0,42.0
9649,50.0,1.4130865881108268,0.00370166484878378,0.29721324221284523,6.0,30.0
9650,61.0,1.2502143502836924,0.0038558939080161193,0.31178673123304673,7.0,25.0
9651,61.0,1.119009640511589,0.005734574468123939,0.1986353391554806,7.0,1.0
9652,60.0,1.54779755268935,0.0059451936073825215,0.38837833865718724,7.0,13.0
9653,62.0,1.1917090403175905,0.006291389883908746,0.19178167151703174,6.0,16.0
9654,51.0,1.0944836881205349,0.004490155749311296,0.1131488817928229,6.0,28.0
9655,60.0,1.2136693786602342,0.0056376750191957144,0.2121962377697671,4.0,33.0
9656,59.0,1.412404746783255,0.003201125571064168,0.29224739143396367,6.0,42.0
9657,57.0,1.4417270764182708,0.004863687918952644,0.34934579972813706,7.0,41.0
9658,59.0,1.47677642907142,0.0035662982025435495,0.39842650504190436,3.0,42.0
9659,55.0,1.3519248659145005,0.004536136439837569,0.35162759649449843,7.0,25.0
9660,59.0,1.5702427932398666,0.0048422720744434175,0.361810356911283,6.0,25.0
9661,61.0,1.098953509125249,0.005920545233922552,0.2232720216496767,7.0,42.0
9662,52.0,1.2540454945714739,0.006310411045824283,0.2509666932726833,7.0,38.0
9663,60.0,1.3453910145800694,0.00399724068928726,0.307654437047616,4.0,19.0
9664,54.0,1.2554441600400839,0.005407982951197619,0.3446147862966778,7.0,6.0
9665,58.0,1.2633839811195267,0.005743859147361493,0.25609841017565427,7.0,40.0
9666,51.0,1.4552551306449186,0.00416481979366874,0.3061185593312732,6.0,40.0
9667,62.0,1.5192421564166423,0.003176831588873176,0.3239192583800547,7.0,42.0
9668,56.0,1.4039528015276437,0.003125512587049079,0.29631074088640164,6.0,37.0
9669,52.0,1.481347289223618,0.006562385142977268,0.3732696714248807,6.0,40.0
9670,62.0,1.473214342327214,0.005255672315056394,0.33946854226600176,7.0,40.0
9671,61.0,1.5427682995969985,0.005682683770690213,0.3600587798289673,6.0,32.0
9672,60.0,1.268824543620609,0.004161269594654698,0.2582073290484518,7.0,33.0
9673,60.0,1.222924396119171,0.003553409353211306,0.2591881559408394,7.0,42.0
9674,44.0,1.5156497156223545,0.004002030378173515,0.33426786965815036,7.0,33.0
9675,62.0,1.1698055701379981,0.0049322312273872276,0.26268800599952713,7.0,4.0
9676,55.0,1.431535091901724,0.0040424442147941044,0.36573679526866054,5.0,8.0
9677,58.0,1.1111479779756457,0.00541417060452655,0.16250113124888357,7.0,31.0
