,date,age,total_number,rV
1929,2021/8/1,45279,6899,0.008957856
1930,2021/8/1,20-29,6512,0.006545539
1931,2021/8/1,30-39,5769,0.005025358
1932,2021/8/1,40-49,4457,0.0029597
1933,2021/8/1,50-59,2496,0.001552504
1934,2021/8/1,60-69,767,0.000641515
1935,2021/8/1,70-79,326,0.000329879
1936,2021/8/1,80-89,85,0.000138445
1937,2021/8/1,90+,11,0.000114367
3564,2021/8/2,45057,0,0
1938,2021/8/2,45279,5481,0.007116685
1939,2021/8/2,20-29,4039,0.004059802
1940,2021/8/2,30-39,3307,0.002880717
1941,2021/8/2,40-49,2616,0.001737172
1942,2021/8/2,50-59,1614,0.001003903
1943,2021/8/2,60-69,744,0.000622278
1944,2021/8/2,70-79,346,0.000350117
1945,2021/8/2,80-89,144,0.000234543
1946,2021/8/2,90+,29,0.000301512
3565,2021/8/3,45057,0,0
1947,2021/8/3,45279,3340,0.00433675
1948,2021/8/3,20-29,3132,0.003148131
1949,2021/8/3,30-39,2649,0.002307536
1950,2021/8/3,40-49,2032,0.001349363
1951,2021/8/3,50-59,1193,0.000742042
1952,2021/8/3,60-69,659,0.000551184
1953,2021/8/3,70-79,303,0.000306606
1954,2021/8/3,80-89,139,0.000226399
1955,2021/8/3,90+,32,0.000332703
3566,2021/8/4,45057,0,0
1956,2021/8/4,45279,3628,0.004710697
1957,2021/8/4,20-29,3329,0.003346146
1958,2021/8/4,30-39,2757,0.002401614
1959,2021/8/4,40-49,2166,0.001438346
1960,2021/8/4,50-59,1419,0.000882614
1961,2021/8/4,60-69,675,0.000564567
1962,2021/8/4,70-79,345,0.000349105
1963,2021/8/4,80-89,150,0.000244315
1964,2021/8/4,90+,28,0.000291115
3567,2021/8/5,45057,0,0
1965,2021/8/5,45279,4063,0.005275513
1966,2021/8/5,20-29,3485,0.003502949
1967,2021/8/5,30-39,3089,0.002690818
1968,2021/8/5,40-49,2294,0.001523346
1969,2021/8/5,50-59,1517,0.000943569
1970,2021/8/5,60-69,738,0.00061726
1971,2021/8/5,70-79,381,0.000385534
1972,2021/8/5,80-89,154,0.00025083
1973,2021/8/5,90+,43,0.000447069
3568,2021/8/6,45057,0,0
1974,2021/8/6,45279,4259,0.005530005
1975,2021/8/6,20-29,3974,0.003994468
1976,2021/8/6,30-39,3435,0.002992218
1977,2021/8/6,40-49,2826,0.001876624
1978,2021/8/6,50-59,1812,0.001127058
1979,2021/8/6,60-69,910,0.00076112
1980,2021/8/6,70-79,393,0.000397677
1981,2021/8/6,80-89,171,0.000278519
1982,2021/8/6,90+,45,0.000467863
3569,2021/8/7,45057,0,0
1983,2021/8/7,45279,4342,0.005637775
1984,2021/8/7,20-29,3264,0.003280811
1985,2021/8/7,30-39,3097,0.002697787
1986,2021/8/7,40-49,2498,0.001658813
1987,2021/8/7,50-59,1616,0.001005147
1988,2021/8/7,60-69,830,0.000694208
1989,2021/8/7,70-79,312,0.000315713
1990,2021/8/7,80-89,122,0.00019871
1991,2021/8/7,90+,10,0.00010397
3570,2021/8/8,45057,0,0
1992,2021/8/8,45279,4346,0.005642969
1993,2021/8/8,20-29,3736,0.003755242
1994,2021/8/8,30-39,3317,0.002889428
1995,2021/8/8,40-49,2705,0.001796273
1996,2021/8/8,50-59,1732,0.001077299
1997,2021/8/8,60-69,564,0.000471727
1998,2021/8/8,70-79,218,0.000220594
1999,2021/8/8,80-89,68,0.000110756
2000,2021/8/8,90+,5,5.20E-05
3571,2021/8/9,45057,0,0
2001,2021/8/9,45279,5613,0.007288077
2002,2021/8/9,20-29,3754,0.003773335
2003,2021/8/9,30-39,3232,0.002815385
2004,2021/8/9,40-49,2758,0.001831468
2005,2021/8/9,50-59,1766,0.001098447
2006,2021/8/9,60-69,937,0.000783702
2007,2021/8/9,70-79,415,0.000419938
2008,2021/8/9,80-89,137,0.000223141
2009,2021/8/9,90+,29,0.000301512
3572,2021/8/10,45057,0,0
2010,2021/8/10,45279,5856,0.007603595
2011,2021/8/10,20-29,3837,0.003856762
2012,2021/8/10,30-39,3215,0.002800576
2013,2021/8/10,40-49,2629,0.001745804
2014,2021/8/10,50-59,1762,0.001095959
2015,2021/8/10,60-69,829,0.000693372
2016,2021/8/10,70-79,415,0.000419938
2017,2021/8/10,80-89,124,0.000201967
2018,2021/8/10,90+,47,0.000488657
3573,2021/8/11,45057,0,0
2019,2021/8/11,45279,5080,0.006596015
2020,2021/8/11,20-29,5081,0.005107169
2021,2021/8/11,30-39,4536,0.003951295
2022,2021/8/11,40-49,3815,0.002533375
2023,2021/8/11,50-59,2433,0.001513319
2024,2021/8/11,60-69,932,0.00077952
2025,2021/8/11,70-79,409,0.000413867
2026,2021/8/11,80-89,167,0.000272004
2027,2021/8/11,90+,34,0.000353496
3574,2021/8/12,45057,0,0
2028,2021/8/12,45279,5201,0.006753125
2029,2021/8/12,20-29,4838,0.004862918
2030,2021/8/12,30-39,4414,0.003845021
2031,2021/8/12,40-49,3634,0.002413181
2032,2021/8/12,50-59,2380,0.001480353
2033,2021/8/12,60-69,927,0.000775338
2034,2021/8/12,70-79,431,0.000436129
2035,2021/8/12,80-89,158,0.000257345
2036,2021/8/12,90+,25,0.000259924
3575,2021/8/13,45057,0,0
2037,2021/8/13,45279,4922,0.006390863
2038,2021/8/13,20-29,4400,0.004422662
2039,2021/8/13,30-39,4205,0.003662962
2040,2021/8/13,40-49,3428,0.002276386
2041,2021/8/13,50-59,2234,0.001389541
2042,2021/8/13,60-69,859,0.000718464
2043,2021/8/13,70-79,358,0.00036226
2044,2021/8/13,80-89,121,0.000197081
2045,2021/8/13,90+,28,0.000291115
3576,2021/8/14,45057,0,0
2046,2021/8/14,45279,3143,0.00408096
2047,2021/8/14,20-29,2284,0.002295763
2048,2021/8/14,30-39,2122,0.001848467
2049,2021/8/14,40-49,1745,0.001158779
2050,2021/8/14,50-59,1190,0.000740176
2051,2021/8/14,60-69,445,0.000372196
2052,2021/8/14,70-79,140,0.000141666
2053,2021/8/14,80-89,49,7.98E-05
2054,2021/8/14,90+,6,6.24E-05
3577,2021/8/15,45057,0,0
2055,2021/8/15,45279,675,0.000876439
2056,2021/8/15,20-29,611,0.000614147
2057,2021/8/15,30-39,648,0.000564471
2058,2021/8/15,40-49,539,0.000357926
2059,2021/8/15,50-59,318,0.000197795
2060,2021/8/15,60-69,88,7.36E-05
2061,2021/8/15,70-79,33,3.34E-05
2062,2021/8/15,80-89,17,2.77E-05
2063,2021/8/15,90+,4,4.16E-05
3578,2021/8/16,45057,0,0
2064,2021/8/16,45279,6788,0.00881373
2065,2021/8/16,20-29,2811,0.002825478
2066,2021/8/16,30-39,2555,0.002225652
2067,2021/8/16,40-49,2160,0.001434362
2068,2021/8/16,50-59,1423,0.000885102
2069,2021/8/16,60-69,747,0.000624787
2070,2021/8/16,70-79,270,0.000273213
2071,2021/8/16,80-89,117,0.000190566
2072,2021/8/16,90+,13,0.00013516
3579,2021/8/17,45057,0,0
2073,2021/8/17,45279,5080,0.006596015
2074,2021/8/17,20-29,3639,0.003657742
2075,2021/8/17,30-39,3095,0.002696045
2076,2021/8/17,40-49,2688,0.001784984
2077,2021/8/17,50-59,1704,0.001059883
2078,2021/8/17,60-69,734,0.000613914
2079,2021/8/17,70-79,343,0.000347082
2080,2021/8/17,80-89,103,0.000167763
2081,2021/8/17,90+,16,0.000166351
3580,2021/8/18,45057,0,0
2082,2021/8/18,45279,5005,0.006498633
2083,2021/8/18,20-29,3612,0.003630603
2084,2021/8/18,30-39,3315,0.002887686
2085,2021/8/18,40-49,2852,0.001893889
2086,2021/8/18,50-59,1906,0.001185526
2087,2021/8/18,60-69,755,0.000631478
2088,2021/8/18,70-79,323,0.000326844
2089,2021/8/18,80-89,109,0.000177536
2090,2021/8/18,90+,24,0.000249527
3581,2021/8/19,45057,0,0
2091,2021/8/19,45279,3931,0.005104121
2092,2021/8/19,20-29,2960,0.002975245
2093,2021/8/19,30-39,2812,0.002449524
2094,2021/8/19,40-49,2410,0.001600376
2095,2021/8/19,50-59,1543,0.000959741
2096,2021/8/19,60-69,633,0.000529438
2097,2021/8/19,70-79,323,0.000326844
2098,2021/8/19,80-89,127,0.000206854
2099,2021/8/19,90+,20,0.000207939
3582,2021/8/20,45057,0,0
2100,2021/8/20,45279,3553,0.004613315
2101,2021/8/20,20-29,2773,0.002787282
2102,2021/8/20,30-39,2935,0.002556669
2103,2021/8/20,40-49,2376,0.001577798
2104,2021/8/20,50-59,1592,0.000990219
2105,2021/8/20,60-69,539,0.000450817
2106,2021/8/20,70-79,242,0.00024488
2107,2021/8/20,80-89,105,0.000171021
2108,2021/8/20,90+,13,0.00013516
3583,2021/8/21,45057,0,0
2109,2021/8/21,45279,2626,0.003409672
2110,2021/8/21,20-29,1844,0.001853497
2111,2021/8/21,30-39,1815,0.001581041
2112,2021/8/21,40-49,1586,0.001053194
2113,2021/8/21,50-59,1036,0.000644389
2114,2021/8/21,60-69,375,0.000313648
2115,2021/8/21,70-79,149,0.000150773
2116,2021/8/21,80-89,48,7.82E-05
2117,2021/8/21,90+,7,7.28E-05
3584,2021/8/22,45057,0,0
2118,2021/8/22,45279,2346,0.003046112
2119,2021/8/22,20-29,1514,0.001521798
2120,2021/8/22,30-39,1416,0.001233473
2121,2021/8/22,40-49,1210,0.000803508
2122,2021/8/22,50-59,760,0.000472718
2123,2021/8/22,60-69,210,0.000175643
2124,2021/8/22,70-79,88,8.90E-05
2125,2021/8/22,80-89,40,6.52E-05
2126,2021/8/22,90+,4,4.16E-05
3585,2021/8/23,45057,0,0
2127,2021/8/23,45279,9536,0.012381811
2128,2021/8/23,20-29,3670,0.003688902
2129,2021/8/23,30-39,3543,0.003086296
2130,2021/8/23,40-49,3210,0.002131621
2131,2021/8/23,50-59,2142,0.001332317
2132,2021/8/23,60-69,993,0.00083054
2133,2021/8/23,70-79,461,0.000466486
2134,2021/8/23,80-89,159,0.000258974
2135,2021/8/23,90+,22,0.000228733
3586,2021/8/24,45057,0,0
2136,2021/8/24,45279,9025,0.011718314
2137,2021/8/24,20-29,4128,0.004149261
2138,2021/8/24,30-39,3767,0.003281422
2139,2021/8/24,40-49,3370,0.00223787
2140,2021/8/24,50-59,2369,0.001473511
2141,2021/8/24,60-69,1038,0.000868178
2142,2021/8/24,70-79,507,0.000513033
2143,2021/8/24,80-89,182,0.000296436
2144,2021/8/24,90+,32,0.000332703
3587,2021/8/25,45057,0,0
2145,2021/8/25,45279,7025,0.009121458
2146,2021/8/25,20-29,3769,0.003788412
2147,2021/8/25,30-39,3627,0.003159468
2148,2021/8/25,40-49,3257,0.002162832
2149,2021/8/25,50-59,2313,0.001438679
2150,2021/8/25,60-69,950,0.000794575
2151,2021/8/25,70-79,478,0.000483688
2152,2021/8/25,80-89,169,0.000275262
2153,2021/8/25,90+,35,0.000363893
3588,2021/8/26,45057,0,0
2154,2021/8/26,45279,5916,0.007681501
2155,2021/8/26,20-29,3464,0.003481841
2156,2021/8/26,30-39,3685,0.003209992
2157,2021/8/26,40-49,3291,0.00218541
2158,2021/8/26,50-59,2305,0.001433703
2159,2021/8/26,60-69,1004,0.000839741
2160,2021/8/26,70-79,455,0.000460414
2161,2021/8/26,80-89,178,0.000289921
2162,2021/8/26,90+,25,0.000259924
3589,2021/8/27,45057,0,0
2163,2021/8/27,45279,4977,0.006462277
2164,2021/8/27,20-29,3508,0.003526068
2165,2021/8/27,30-39,3442,0.002998315
2166,2021/8/27,40-49,3211,0.002132285
2167,2021/8/27,50-59,2129,0.001324231
2168,2021/8/27,60-69,745,0.000623114
2169,2021/8/27,70-79,338,0.000342022
2170,2021/8/27,80-89,132,0.000214997
2171,2021/8/27,90+,34,0.000353496
3590,2021/8/28,45057,0,0
2172,2021/8/28,45279,5461,0.007090716
2173,2021/8/28,20-29,3120,0.003136069
2174,2021/8/28,30-39,3135,0.002730889
2175,2021/8/28,40-49,3017,0.002003458
2176,2021/8/28,50-59,2028,0.00126141
2177,2021/8/28,60-69,606,0.000506856
2178,2021/8/28,70-79,229,0.000231725
2179,2021/8/28,80-89,108,0.000175907
2180,2021/8/28,90+,16,0.000166351
3591,2021/8/29,45057,0,0
2181,2021/8/29,45279,4245,0.005511827
2182,2021/8/29,20-29,2277,0.002288727
2183,2021/8/29,30-39,2233,0.001945159
2184,2021/8/29,40-49,2069,0.001373933
2185,2021/8/29,50-59,1282,0.0007974
2186,2021/8/29,60-69,382,0.000319503
2187,2021/8/29,70-79,162,0.000163928
2188,2021/8/29,80-89,60,9.77E-05
2189,2021/8/29,90+,6,6.24E-05
3592,2021/8/30,45057,0,0
2190,2021/8/30,45279,11384,0.014781306
2191,2021/8/30,20-29,7693,0.007732622
2192,2021/8/30,30-39,8230,0.007169127
2193,2021/8/30,40-49,7782,0.005167688
2194,2021/8/30,50-59,5173,0.00321759
2195,2021/8/30,60-69,1729,0.001446127
2196,2021/8/30,70-79,774,0.000783211
2197,2021/8/30,80-89,288,0.000469085
2198,2021/8/30,90+,49,0.000509451
3593,2021/8/31,45057,0,0
2199,2021/8/31,45279,11845,0.015379881
2200,2021/8/31,20-29,6439,0.006472163
2201,2021/8/31,30-39,6291,0.00548007
2202,2021/8/31,40-49,5856,0.003888715
2203,2021/8/31,50-59,3900,0.002425788
2204,2021/8/31,60-69,1360,0.001137498
2205,2021/8/31,70-79,668,0.000675949
2206,2021/8/31,80-89,223,0.000363215
2207,2021/8/31,90+,51,0.000530245
3594,2021/9/1,45057,0,0
2208,2021/9/1,45279,11031,0.014322961
2209,2021/9/1,20-29,5158,0.005184566
2210,2021/9/1,30-39,4857,0.004230917
2211,2021/9/1,40-49,4571,0.003035402
2212,2021/9/1,50-59,3027,0.001882785
2213,2021/9/1,60-69,1076,0.000899961
2214,2021/9/1,70-79,526,0.000532259
2215,2021/9/1,80-89,196,0.000319239
2216,2021/9/1,90+,43,0.000447069
3595,2021/9/2,45057,0,0
2217,2021/9/2,45279,9139,0.011866335
2218,2021/9/2,20-29,4288,0.004310085
2219,2021/9/2,30-39,4102,0.003573239
2220,2021/9/2,40-49,4015,0.002666187
2221,2021/9/2,50-59,2601,0.001617814
2222,2021/9/2,60-69,919,0.000768647
2223,2021/9/2,70-79,471,0.000476605
2224,2021/9/2,80-89,176,0.000286663
2225,2021/9/2,90+,39,0.000405481
3596,2021/9/3,45057,0,0
2226,2021/9/3,45279,7690,0.009984912
2227,2021/9/3,20-29,3709,0.003728103
2228,2021/9/3,30-39,3872,0.003372887
2229,2021/9/3,40-49,3559,0.002363377
2230,2021/9/3,50-59,2416,0.001502745
2231,2021/9/3,60-69,801,0.000669953
2232,2021/9/3,70-79,424,0.000429046
2233,2021/9/3,80-89,181,0.000294807
2234,2021/9/3,90+,37,0.000384687
3597,2021/9/4,45057,0,0
2235,2021/9/4,45279,6977,0.009059133
2236,2021/9/4,20-29,3258,0.00327478
2237,2021/9/4,30-39,3674,0.00320041
2238,2021/9/4,40-49,3303,0.002193379
2239,2021/9/4,50-59,2194,0.001364661
2240,2021/9/4,60-69,664,0.000555366
2241,2021/9/4,70-79,284,0.00028738
2242,2021/9/4,80-89,113,0.000184051
2243,2021/9/4,90+,15,0.000155954
3598,2021/9/5,45057,0,0
2244,2021/9/5,45279,4673,0.006067555
2245,2021/9/5,20-29,2017,0.002027388
2246,2021/9/5,30-39,2056,0.001790975
2247,2021/9/5,40-49,1881,0.00124909
2248,2021/9/5,50-59,1203,0.000748262
2249,2021/9/5,60-69,338,0.000282702
2250,2021/9/5,70-79,161,0.000162916
2251,2021/9/5,80-89,68,0.000110756
2252,2021/9/5,90+,8,8.32E-05
3599,2021/9/6,45057,0,0
2253,2021/9/6,45279,7053,0.009157814
2254,2021/9/6,20-29,2355,0.002367129
2255,2021/9/6,30-39,2251,0.001960839
2256,2021/9/6,40-49,2154,0.001430378
2257,2021/9/6,50-59,1413,0.000878882
2258,2021/9/6,60-69,707,0.000591331
2259,2021/9/6,70-79,370,0.000374403
2260,2021/9/6,80-89,152,0.000247573
2261,2021/9/6,90+,33,0.0003431
3600,2021/9/7,45057,0,0
2262,2021/9/7,45279,6051,0.007856789
2263,2021/9/7,20-29,2421,0.002433469
2264,2021/9/7,30-39,2332,0.002031398
2265,2021/9/7,40-49,2143,0.001423073
2266,2021/9/7,50-59,1509,0.000938593
2267,2021/9/7,60-69,639,0.000534457
2268,2021/9/7,70-79,314,0.000317737
2269,2021/9/7,80-89,124,0.000201967
2270,2021/9/7,90+,26,0.000270321
3601,2021/9/8,45057,0,0
2271,2021/9/8,45279,4875,0.006329837
2272,2021/9/8,20-29,2087,0.002097749
2273,2021/9/8,30-39,2151,0.001873729
2274,2021/9/8,40-49,1946,0.001292254
2275,2021/9/8,50-59,1295,0.000805486
2276,2021/9/8,60-69,640,0.000535293
2277,2021/9/8,70-79,324,0.000327856
2278,2021/9/8,80-89,152,0.000247573
2279,2021/9/8,90+,27,0.000280718
3602,2021/9/9,45057,0,0
2280,2021/9/9,45279,4376,0.005681921
2281,2021/9/9,20-29,1871,0.001880636
2282,2021/9/9,30-39,1870,0.001628951
2283,2021/9/9,40-49,1692,0.001123584
2284,2021/9/9,50-59,1133,0.000704723
2285,2021/9/9,60-69,518,0.000433253
2286,2021/9/9,70-79,275,0.000278272
2287,2021/9/9,80-89,123,0.000200338
2288,2021/9/9,90+,42,0.000436672
3603,2021/9/10,45057,0,0
2289,2021/9/10,45279,3789,0.004919744
2290,2021/9/10,20-29,1759,0.00176806
2291,2021/9/10,30-39,1939,0.001689057
2292,2021/9/10,40-49,1699,0.001128232
2293,2021/9/10,50-59,1267,0.00078807
2294,2021/9/10,60-69,528,0.000441617
2295,2021/9/10,70-79,292,0.000295475
2296,2021/9/10,80-89,111,0.000180793
2297,2021/9/10,90+,25,0.000259924
3604,2021/9/11,45057,0,0
2298,2021/9/11,45279,3703,0.004808079
2299,2021/9/11,20-29,2137,0.002148006
2300,2021/9/11,30-39,2645,0.002304051
2301,2021/9/11,40-49,2414,0.001603032
2302,2021/9/11,50-59,1527,0.000949789
2303,2021/9/11,60-69,514,0.000429907
2304,2021/9/11,70-79,215,0.000217558
2305,2021/9/11,80-89,105,0.000171021
2306,2021/9/11,90+,10,0.00010397
3605,2021/9/12,45057,0,0
2307,2021/9/12,45279,2022,0.002625422
2308,2021/9/12,20-29,1586,0.001594169
2309,2021/9/12,30-39,2142,0.001865889
2310,2021/9/12,40-49,1696,0.00112624
2311,2021/9/12,50-59,1025,0.000637547
2312,2021/9/12,60-69,306,0.000255937
2313,2021/9/12,70-79,122,0.000123452
2314,2021/9/12,80-89,51,8.31E-05
2315,2021/9/12,90+,7,7.28E-05
3606,2021/9/13,45057,0,0
2316,2021/9/13,45279,1017,0.001320501
2317,2021/9/13,20-29,1234,0.001240356
2318,2021/9/13,30-39,1533,0.001335391
2319,2021/9/13,40-49,1137,0.000755032
2320,2021/9/13,50-59,653,0.000406164
2321,2021/9/13,60-69,439,0.000367178
2322,2021/9/13,70-79,243,0.000245892
2323,2021/9/13,80-89,90,0.000146589
2324,2021/9/13,90+,11,0.000114367
3607,2021/9/14,45057,0,0
2325,2021/9/14,45279,1295,0.001681464
2326,2021/9/14,20-29,1436,0.001443396
2327,2021/9/14,30-39,1813,0.001579299
2328,2021/9/14,40-49,1282,0.00085132
2329,2021/9/14,50-59,796,0.00049511
2330,2021/9/14,60-69,464,0.000388087
2331,2021/9/14,70-79,246,0.000248927
2332,2021/9/14,80-89,120,0.000195452
2333,2021/9/14,90+,29,0.000301512
3608,2021/9/15,45057,0,0
2334,2021/9/15,45279,1346,0.001747684
2335,2021/9/15,20-29,1524,0.001531849
2336,2021/9/15,30-39,1908,0.001662053
2337,2021/9/15,40-49,1451,0.000963546
2338,2021/9/15,50-59,946,0.000588409
2339,2021/9/15,60-69,508,0.000424889
2340,2021/9/15,70-79,295,0.00029851
2341,2021/9/15,80-89,141,0.000229656
2342,2021/9/15,90+,36,0.00037429
3609,2021/9/16,45057,0,0
2343,2021/9/16,45279,1186,0.001539936
2344,2021/9/16,20-29,1455,0.001462494
2345,2021/9/16,30-39,1807,0.001574072
2346,2021/9/16,40-49,1537,0.001020655
2347,2021/9/16,50-59,1043,0.000648743
2348,2021/9/16,60-69,455,0.00038056
2349,2021/9/16,70-79,268,0.000271189
2350,2021/9/16,80-89,110,0.000179164
2351,2021/9/16,90+,33,0.0003431
3610,2021/9/17,45057,0,0
2352,2021/9/17,45279,1575,0.002045024
2353,2021/9/17,20-29,1515,0.001522803
2354,2021/9/17,30-39,2161,0.00188244
2355,2021/9/17,40-49,1982,0.00131616
2356,2021/9/17,50-59,1457,0.00090625
2357,2021/9/17,60-69,573,0.000479254
2358,2021/9/17,70-79,240,0.000242856
2359,2021/9/17,80-89,93,0.000151475
2360,2021/9/17,90+,30,0.000311909
3611,2021/9/18,45057,0,0
2361,2021/9/18,45279,2354,0.0030565
2362,2021/9/18,20-29,1820,0.001829374
2363,2021/9/18,30-39,2743,0.002389419
2364,2021/9/18,40-49,2738,0.001818187
2365,2021/9/18,50-59,1995,0.001240884
2366,2021/9/18,60-69,740,0.000618932
2367,2021/9/18,70-79,252,0.000254999
2368,2021/9/18,80-89,132,0.000214997
2369,2021/9/18,90+,14,0.000145557
3612,2021/9/19,45057,0,0
2370,2021/9/19,45279,1649,0.002141108
2371,2021/9/19,20-29,1655,0.001663524
2372,2021/9/19,30-39,2238,0.001949515
2373,2021/9/19,40-49,2368,0.001572486
2374,2021/9/19,50-59,1681,0.001045577
2375,2021/9/19,60-69,429,0.000358814
2376,2021/9/19,70-79,158,0.00015988
2377,2021/9/19,80-89,56,9.12E-05
2378,2021/9/19,90+,7,7.28E-05
3613,2021/9/20,45057,0,0
2379,2021/9/20,45279,1020,0.001324397
2380,2021/9/20,20-29,2105,0.002115842
2381,2021/9/20,30-39,2393,0.002084535
2382,2021/9/20,40-49,2435,0.001616978
2383,2021/9/20,50-59,1906,0.001185526
2384,2021/9/20,60-69,791,0.000661589
2385,2021/9/20,70-79,270,0.000273213
2386,2021/9/20,80-89,137,0.000223141
2387,2021/9/20,90+,18,0.000187145
3614,2021/9/21,45057,0,0
2388,2021/9/21,45279,1103,0.001432166
2389,2021/9/21,20-29,2401,0.002413366
2390,2021/9/21,30-39,2823,0.002459106
2391,2021/9/21,40-49,2745,0.001822835
2392,2021/9/21,50-59,2192,0.001363417
2393,2021/9/21,60-69,740,0.000618932
2394,2021/9/21,70-79,265,0.000268153
2395,2021/9/21,80-89,134,0.000218255
2396,2021/9/21,90+,28,0.000291115
3615,2021/9/22,45057,0,0
2397,2021/9/22,45279,1214,0.001576292
2398,2021/9/22,20-29,2617,0.002630479
2399,2021/9/22,30-39,2853,0.002485239
2400,2021/9/22,40-49,2987,0.001983537
2401,2021/9/22,50-59,2343,0.001457339
2402,2021/9/22,60-69,751,0.000628133
2403,2021/9/22,70-79,283,0.000286368
2404,2021/9/22,80-89,124,0.000201967
2405,2021/9/22,90+,45,0.000467863
3616,2021/9/23,45057,0,0
2406,2021/9/23,45279,1222,0.001586679
2407,2021/9/23,20-29,2359,0.00237115
2408,2021/9/23,30-39,2876,0.002505274
2409,2021/9/23,40-49,2962,0.001966935
2410,2021/9/23,50-59,2329,0.001448631
2411,2021/9/23,60-69,691,0.000577949
2412,2021/9/23,70-79,271,0.000274225
2413,2021/9/23,80-89,143,0.000232914
2414,2021/9/23,90+,42,0.000436672
3617,2021/9/24,45057,0,0
2415,2021/9/24,45279,1321,0.001715224
2416,2021/9/24,20-29,2268,0.002279681
2417,2021/9/24,30-39,2909,0.002534021
2418,2021/9/24,40-49,2913,0.001934397
2419,2021/9/24,50-59,2316,0.001440545
2420,2021/9/24,60-69,748,0.000625624
2421,2021/9/24,70-79,235,0.000237796
2422,2021/9/24,80-89,143,0.000232914
2423,2021/9/24,90+,37,0.000384687
3618,2021/9/25,45057,0,0
2424,2021/9/25,45279,1564,0.002030742
2425,2021/9/25,20-29,2195,0.002206305
2426,2021/9/25,30-39,2910,0.002534892
2427,2021/9/25,40-49,2990,0.001985529
2428,2021/9/25,50-59,2447,0.001522026
2429,2021/9/25,60-69,692,0.000578786
2430,2021/9/25,70-79,206,0.000208451
2431,2021/9/25,80-89,105,0.000171021
2432,2021/9/25,90+,18,0.000187145
3619,2021/9/26,45057,0,0
2433,2021/9/26,45279,1009,0.001310114
2434,2021/9/26,20-29,1610,0.001618292
2435,2021/9/26,30-39,2097,0.00182669
2436,2021/9/26,40-49,2169,0.001440339
2437,2021/9/26,50-59,1632,0.001015099
2438,2021/9/26,60-69,407,0.000340413
2439,2021/9/26,70-79,108,0.000109285
2440,2021/9/26,80-89,60,9.77E-05
2441,2021/9/26,90+,11,0.000114367
3620,2021/9/27,45057,0,0
2442,2021/9/27,45279,1371,0.001780145
2443,2021/9/27,20-29,2598,0.002611381
2444,2021/9/27,30-39,2818,0.002454751
2445,2021/9/27,40-49,2777,0.001844085
2446,2021/9/27,50-59,2130,0.001324853
2447,2021/9/27,60-69,693,0.000579622
2448,2021/9/27,70-79,286,0.000289403
2449,2021/9/27,80-89,136,0.000221512
2450,2021/9/27,90+,28,0.000291115
3621,2021/9/28,45057,0,0
2451,2021/9/28,45279,1369,0.001777548
2452,2021/9/28,20-29,2669,0.002682746
2453,2021/9/28,30-39,2872,0.00250179
2454,2021/9/28,40-49,2670,0.001773031
2455,2021/9/28,50-59,2178,0.001354709
2456,2021/9/28,60-69,633,0.000529438
2457,2021/9/28,70-79,264,0.000267142
2458,2021/9/28,80-89,121,0.000197081
2459,2021/9/28,90+,35,0.000363893
3622,2021/9/29,45057,0,0
2460,2021/9/29,45279,1146,0.001487999
2461,2021/9/29,20-29,2183,0.002194243
2462,2021/9/29,30-39,2472,0.002153351
2463,2021/9/29,40-49,2354,0.001563189
2464,2021/9/29,50-59,1850,0.001150694
2465,2021/9/29,60-69,630,0.000526929
2466,2021/9/29,70-79,254,0.000257023
2467,2021/9/29,80-89,113,0.000184051
2468,2021/9/29,90+,43,0.000447069
3623,2021/9/30,45057,0,0
2469,2021/9/30,45279,1161,0.001507475
2470,2021/9/30,20-29,2220,0.002231434
2471,2021/9/30,30-39,2508,0.002184711
2472,2021/9/30,40-49,2551,0.001694008
2473,2021/9/30,50-59,1825,0.001135144
2474,2021/9/30,60-69,589,0.000492637
2475,2021/9/30,70-79,211,0.000213511
2476,2021/9/30,80-89,112,0.000182422
2477,2021/9/30,90+,27,0.000280718
3624,2021/10/1,45057,0,0
2478,2021/10/1,45279,1089,0.001413988
2479,2021/10/1,20-29,1886,0.001895714
2480,2021/10/1,30-39,2330,0.002029656
2481,2021/10/1,40-49,2204,0.00146358
2482,2021/10/1,50-59,1660,0.001032515
2483,2021/10/1,60-69,576,0.000481764
2484,2021/10/1,70-79,193,0.000195297
2485,2021/10/1,80-89,106,0.000172649
2486,2021/10/1,90+,18,0.000187145
3625,2021/10/2,45057,0,0
2487,2021/10/2,45279,1333,0.001730805
2488,2021/10/2,20-29,1562,0.001570045
2489,2021/10/2,30-39,1971,0.001716932
2490,2021/10/2,40-49,1894,0.001257723
2491,2021/10/2,50-59,1583,0.000984621
2492,2021/10/2,60-69,461,0.000385578
2493,2021/10/2,70-79,133,0.000134583
2494,2021/10/2,80-89,64,0.000104241
2495,2021/10/2,90+,5,5.20E-05
3626,2021/10/3,45057,0,0
2496,2021/10/3,45279,803,0.001042638
2497,2021/10/3,20-29,878,0.000882522
2498,2021/10/3,30-39,1162,0.001012215
2499,2021/10/3,40-49,1133,0.000752376
2500,2021/10/3,50-59,919,0.000571615
2501,2021/10/3,60-69,258,0.00021579
2502,2021/10/3,70-79,83,8.40E-05
2503,2021/10/3,80-89,32,5.21E-05
2504,2021/10/3,90+,5,5.20E-05
3627,2021/10/4,45057,0,0
