Unnamed: 0,prename,week_end,sex,age,rV
33,British Columbia,2021-02-12,All sexes,18–69,0.0002196278335955
34,British Columbia,2021-02-12,All sexes,70–79,0.0001111544033433
35,British Columbia,2021-02-12,All sexes,80+,0.0002537552248905
32,British Columbia,2021-02-13,All sexes,0–17,7.152240882895501e-07
33,British Columbia,2021-02-13,All sexes,18–69,0.0002196278335955
34,British Columbia,2021-02-13,All sexes,70–79,0.0001111544033433
35,British Columbia,2021-02-13,All sexes,80+,0.0002537552248905
36,British Columbia,2021-02-14,All sexes,0–17,6.1509271592901314e-06
37,British Columbia,2021-02-14,All sexes,18–69,0.0005614914235088
38,British Columbia,2021-02-14,All sexes,70–79,0.0001701222565759
39,British Columbia,2021-02-14,All sexes,80+,0.000377276286742
36,British Columbia,2021-02-15,All sexes,0–17,6.1509271592901314e-06
37,British Columbia,2021-02-15,All sexes,18–69,0.0005614914235088
38,British Columbia,2021-02-15,All sexes,70–79,0.0001701222565759
39,British Columbia,2021-02-15,All sexes,80+,0.000377276286742
36,British Columbia,2021-02-16,All sexes,0–17,6.1509271592901314e-06
37,British Columbia,2021-02-16,All sexes,18–69,0.0005614914235088
38,British Columbia,2021-02-16,All sexes,70–79,0.0001701222565759
39,British Columbia,2021-02-16,All sexes,80+,0.000377276286742
36,British Columbia,2021-02-17,All sexes,0–17,6.1509271592901314e-06
37,British Columbia,2021-02-17,All sexes,18–69,0.0005614914235088
38,British Columbia,2021-02-17,All sexes,70–79,0.0001701222565759
39,British Columbia,2021-02-17,All sexes,80+,0.000377276286742
36,British Columbia,2021-02-18,All sexes,0–17,6.1509271592901314e-06
37,British Columbia,2021-02-18,All sexes,18–69,0.0005614914235088
38,British Columbia,2021-02-18,All sexes,70–79,0.0001701222565759
39,British Columbia,2021-02-18,All sexes,80+,0.000377276286742
36,British Columbia,2021-02-19,All sexes,0–17,6.1509271592901314e-06
37,British Columbia,2021-02-19,All sexes,18–69,0.0005614914235088
38,British Columbia,2021-02-19,All sexes,70–79,0.0001701222565759
39,British Columbia,2021-02-19,All sexes,80+,0.000377276286742
36,British Columbia,2021-02-20,All sexes,0–17,6.1509271592901314e-06
37,British Columbia,2021-02-20,All sexes,18–69,0.0005614914235088
38,British Columbia,2021-02-20,All sexes,70–79,0.0001701222565759
39,British Columbia,2021-02-20,All sexes,80+,0.000377276286742
40,British Columbia,2021-02-21,All sexes,0–17,1.0156182053711611e-05
41,British Columbia,2021-02-21,All sexes,18–69,0.0010677117304569
42,British Columbia,2021-02-21,All sexes,70–79,0.0003361167634255
43,British Columbia,2021-02-21,All sexes,80+,0.0006142487586636
40,British Columbia,2021-02-22,All sexes,0–17,1.0156182053711611e-05
41,British Columbia,2021-02-22,All sexes,18–69,0.0010677117304569
42,British Columbia,2021-02-22,All sexes,70–79,0.0003361167634255
43,British Columbia,2021-02-22,All sexes,80+,0.0006142487586636
40,British Columbia,2021-02-23,All sexes,0–17,1.0156182053711611e-05
41,British Columbia,2021-02-23,All sexes,18–69,0.0010677117304569
42,British Columbia,2021-02-23,All sexes,70–79,0.0003361167634255
43,British Columbia,2021-02-23,All sexes,80+,0.0006142487586636
40,British Columbia,2021-02-24,All sexes,0–17,1.0156182053711611e-05
41,British Columbia,2021-02-24,All sexes,18–69,0.0010677117304569
42,British Columbia,2021-02-24,All sexes,70–79,0.0003361167634255
43,British Columbia,2021-02-24,All sexes,80+,0.0006142487586636
40,British Columbia,2021-02-25,All sexes,0–17,1.0156182053711611e-05
41,British Columbia,2021-02-25,All sexes,18–69,0.0010677117304569
42,British Columbia,2021-02-25,All sexes,70–79,0.0003361167634255
43,British Columbia,2021-02-25,All sexes,80+,0.0006142487586636
40,British Columbia,2021-02-26,All sexes,0–17,1.0156182053711611e-05
41,British Columbia,2021-02-26,All sexes,18–69,0.0010677117304569
42,British Columbia,2021-02-26,All sexes,70–79,0.0003361167634255
43,British Columbia,2021-02-26,All sexes,80+,0.0006142487586636
40,British Columbia,2021-02-27,All sexes,0–17,1.0156182053711611e-05
41,British Columbia,2021-02-27,All sexes,18–69,0.0010677117304569
42,British Columbia,2021-02-27,All sexes,70–79,0.0003361167634255
43,British Columbia,2021-02-27,All sexes,80+,0.0006142487586636
44,British Columbia,2021-02-28,All sexes,0–17,1.301707840686981e-05
45,British Columbia,2021-02-28,All sexes,18–69,0.001472615144383
46,British Columbia,2021-02-28,All sexes,70–79,0.0014370465832772
47,British Columbia,2021-02-28,All sexes,80+,0.0090177088252777
44,British Columbia,2021-03-01,All sexes,0–17,1.301707840686981e-05
45,British Columbia,2021-03-01,All sexes,18–69,0.001472615144383
46,British Columbia,2021-03-01,All sexes,70–79,0.0014370465832772
47,British Columbia,2021-03-01,All sexes,80+,0.0090177088252777
44,British Columbia,2021-03-02,All sexes,0–17,1.301707840686981e-05
45,British Columbia,2021-03-02,All sexes,18–69,0.001472615144383
46,British Columbia,2021-03-02,All sexes,70–79,0.0014370465832772
47,British Columbia,2021-03-02,All sexes,80+,0.0090177088252777
44,British Columbia,2021-03-03,All sexes,0–17,1.301707840686981e-05
