,prename,week_end,sex,age,rV
293,British Columbia,2021-09-25,All sexes,80+,0.004497106485560623
294,British Columbia,2021-10-02,All sexes,0–4,0.0
295,British Columbia,2021-10-02,All sexes,05–11,0.0
296,British Columbia,2021-10-02,All sexes,12–17,0.00455796715813332
297,British Columbia,2021-10-02,All sexes,18–29,0.009758738810717213
298,British Columbia,2021-10-02,All sexes,30–39,0.006913169705196568
299,British Columbia,2021-10-02,All sexes,40–49,0.005396868181040396
300,British Columbia,2021-10-02,All sexes,50–59,0.0035760269314181344
301,British Columbia,2021-10-02,All sexes,60–69,0.002500514206799283
302,British Columbia,2021-10-02,All sexes,70–79,0.0025509493308401724
303,British Columbia,2021-10-02,All sexes,80+,0.0035337764651427257
304,British Columbia,2021-10-09,All sexes,0–4,0.0
305,British Columbia,2021-10-09,All sexes,05–11,0.0
306,British Columbia,2021-10-09,All sexes,12–17,0.004498623612605335
307,British Columbia,2021-10-09,All sexes,18–29,0.010773447210804626
308,British Columbia,2021-10-09,All sexes,30–39,0.0076405983100274735
309,British Columbia,2021-10-09,All sexes,40–49,0.005442296364382487
310,British Columbia,2021-10-09,All sexes,50–59,0.00382127279752815
311,British Columbia,2021-10-09,All sexes,60–69,0.003051450063173978
312,British Columbia,2021-10-09,All sexes,70–79,0.002711931570165038
313,British Columbia,2021-10-09,All sexes,80+,0.004182262039863066
314,British Columbia,2021-10-16,All sexes,0–4,0.0
315,British Columbia,2021-10-16,All sexes,05–11,0.0
316,British Columbia,2021-10-16,All sexes,12–17,0.0032792094674012505
317,British Columbia,2021-10-16,All sexes,18–29,0.006494690527857156
318,British Columbia,2021-10-16,All sexes,30–39,0.005853202309585821
319,British Columbia,2021-10-16,All sexes,40–49,0.004294477598605658
320,British Columbia,2021-10-16,All sexes,50–59,0.003128310640961478
321,British Columbia,2021-10-16,All sexes,60–69,0.0020333206005935414
322,British Columbia,2021-10-16,All sexes,70–79,0.0018719345008673435
323,British Columbia,2021-10-16,All sexes,80+,0.0027913074737962486
324,British Columbia,2021-10-23,All sexes,0–4,0.0
325,British Columbia,2021-10-23,All sexes,05–11,0.0
326,British Columbia,2021-10-23,All sexes,12–17,0.003407468098058509
327,British Columbia,2021-10-23,All sexes,18–29,0.0072922596818353275
328,British Columbia,2021-10-23,All sexes,30–39,0.006070131911383608
329,British Columbia,2021-10-23,All sexes,40–49,0.004347477145838097
330,British Columbia,2021-10-23,All sexes,50–59,0.0031240330967851403
331,British Columbia,2021-10-23,All sexes,60–69,0.002268386565980078
332,British Columbia,2021-10-23,All sexes,70–79,0.002123727234170338
333,British Columbia,2021-10-23,All sexes,80+,0.003139046115312953
334,British Columbia,2021-10-30,All sexes,0–4,0.0
335,British Columbia,2021-10-30,All sexes,05–11,0.0
336,British Columbia,2021-10-30,All sexes,12–17,0.0023201411993521983
337,British Columbia,2021-10-30,All sexes,18–29,0.006018654488309975
338,British Columbia,2021-10-30,All sexes,30–39,0.005115381867543045
339,British Columbia,2021-10-30,All sexes,40–49,0.0037220824884953126
340,British Columbia,2021-10-30,All sexes,50–59,0.0024225158518657933
341,British Columbia,2021-10-30,All sexes,60–69,0.0019348867275879294
342,British Columbia,2021-10-30,All sexes,70–79,0.002020533491013373
343,British Columbia,2021-10-30,All sexes,80+,0.003632459052600169
344,British Columbia,2021-11-06,All sexes,0–4,0.0
345,British Columbia,2021-11-06,All sexes,05–11,0.0
346,British Columbia,2021-11-06,All sexes,12–17,0.0024943432200956388
347,British Columbia,2021-11-06,All sexes,18–29,0.0049051198928779715
348,British Columbia,2021-11-06,All sexes,30–39,0.004245065501048926
349,British Columbia,2021-11-06,All sexes,40–49,0.003207229743951616
350,British Columbia,2021-11-06,All sexes,50–59,0.0021002741905817033
351,British Columbia,2021-11-06,All sexes,60–69,0.0017130432227543855
352,British Columbia,2021-11-06,All sexes,70–79,0.0017481020090789855
353,British Columbia,2021-11-06,All sexes,80+,0.003425695536022669
354,British Columbia,2021-11-13,All sexes,0–4,0.0
355,British Columbia,2021-11-13,All sexes,05–11,0.0
356,British Columbia,2021-11-13,All sexes,12–17,0.0017152198965508
357,British Columbia,2021-11-13,All sexes,18–29,0.00408667196523545
358,British Columbia,2021-11-13,All sexes,30–39,0.0036449369020634293
359,British Columbia,2021-11-13,All sexes,40–49,0.002460693264363256
360,British Columbia,2021-11-13,All sexes,50–59,0.0015313608151288182
361,British Columbia,2021-11-13,All sexes,60–69,0.001517644639026827
362,British Columbia,2021-11-13,All sexes,70–79,0.001696505137500503
363,British Columbia,2021-11-13,All sexes,80+,0.0033129154360713054
364,British Columbia,2021-11-20,All sexes,0–4,0.0
365,British Columbia,2021-11-20,All sexes,05–11,0.0
366,British Columbia,2021-11-20,All sexes,12–17,0.001529532028285814
367,British Columbia,2021-11-20,All sexes,18–29,0.003383753251868998
368,British Columbia,2021-11-20,All sexes,30–39,0.0029668695239889065
369,British Columbia,2021-11-20,All sexes,40–49,0.0021896384370887804
370,British Columbia,2021-11-20,All sexes,50–59,0.0012290810266676363
371,British Columbia,2021-11-20,All sexes,60–69,0.0013369376781359268
372,British Columbia,2021-11-20,All sexes,70–79,0.0018306570036045575
373,British Columbia,2021-11-20,All sexes,80+,0.00293698176956676
