data,agegroup,n
2021-03-11,1.0,2
2021-03-11,2.0,145
2021-03-11,3.0,1418
2021-03-11,4.0,1574
2021-03-11,5.0,1512
2021-03-11,6.0,1317
2021-03-11,7.0,2702
2021-03-11,8.0,22699
2021-03-11,9.0,5953
2021-03-11,10.0,456
2021-03-12,2.0,134
2021-03-12,3.0,1608
2021-03-12,4.0,1824
2021-03-12,5.0,1532
2021-03-12,6.0,1502
2021-03-12,7.0,2991
2021-03-12,8.0,30619
2021-03-12,9.0,5618
2021-03-12,10.0,344
2021-03-13,2.0,15
2021-03-13,3.0,208
2021-03-13,4.0,258
2021-03-13,5.0,279
2021-03-13,6.0,310
2021-03-13,7.0,785
2021-03-13,8.0,29200
2021-03-13,9.0,2123
2021-03-13,10.0,191
2021-03-14,2.0,3
2021-03-14,3.0,118
2021-03-14,4.0,122
2021-03-14,5.0,107
2021-03-14,6.0,73
2021-03-14,7.0,67
2021-03-14,8.0,5066
2021-03-14,9.0,215
2021-03-14,10.0,13
2021-03-15,1.0,5
2021-03-15,2.0,108
2021-03-15,3.0,1298
2021-03-15,4.0,1408
2021-03-15,5.0,1229
2021-03-15,6.0,1211
2021-03-15,7.0,2674
2021-03-15,8.0,165776
2021-03-15,9.0,4637
2021-03-15,10.0,345
2021-03-16,1.0,1
2021-03-16,2.0,143
2021-03-16,3.0,1606
2021-03-16,4.0,1555
2021-03-16,5.0,1316
2021-03-16,6.0,1156
2021-03-16,7.0,2829
2021-03-16,8.0,68225
2021-03-16,9.0,4195
2021-03-16,10.0,347
2021-03-17,2.0,153
2021-03-17,3.0,1900
2021-03-17,4.0,1918
2021-03-17,5.0,1523
2021-03-17,6.0,1337
2021-03-17,7.0,3155
2021-03-17,8.0,41165
2021-03-17,9.0,3140
2021-03-17,10.0,302
2021-03-18,1.0,4
2021-03-18,2.0,136
2021-03-18,3.0,1651
2021-03-18,4.0,1713
2021-03-18,5.0,1381
2021-03-18,6.0,1171
2021-03-18,7.0,3700
2021-03-18,8.0,58548
2021-03-18,9.0,2703
2021-03-18,10.0,263
2021-03-19,1.0,4
2021-03-19,2.0,180
2021-03-19,3.0,1592
2021-03-19,4.0,1642
2021-03-19,5.0,1396
2021-03-19,6.0,1206
2021-03-19,7.0,3420
2021-03-19,8.0,292188
2021-03-19,9.0,2946
2021-03-19,10.0,259
2021-03-20,1.0,1
2021-03-20,2.0,38
2021-03-20,3.0,382
2021-03-20,4.0,463
2021-03-20,5.0,386
2021-03-20,6.0,477
2021-03-20,7.0,1377
2021-03-20,8.0,92154
2021-03-20,9.0,1332
2021-03-20,10.0,141
2021-03-21,2.0,3
2021-03-21,3.0,66
2021-03-21,4.0,62
2021-03-21,5.0,55
2021-03-21,6.0,89
2021-03-21,7.0,111
2021-03-21,8.0,10684
2021-03-21,9.0,104
2021-03-21,10.0,8
2021-03-22,1.0,1
2021-03-22,2.0,164
2021-03-22,3.0,1424
2021-03-22,4.0,1497
2021-03-22,5.0,1282
2021-03-22,6.0,1107
2021-03-22,7.0,3607
2021-03-22,8.0,112703
2021-03-22,9.0,2155
2021-03-22,10.0,226
2021-03-23,1.0,2
2021-03-23,2.0,148
2021-03-23,3.0,1364
2021-03-23,4.0,1558
2021-03-23,5.0,1317
2021-03-23,6.0,1082
2021-03-23,7.0,4945
2021-03-23,8.0,64889
2021-03-23,9.0,2148
2021-03-23,10.0,240
2021-03-24,1.0,3
2021-03-24,2.0,156
2021-03-24,3.0,1774
2021-03-24,4.0,1790
2021-03-24,5.0,1530
2021-03-24,6.0,1230
2021-03-24,7.0,13066
2021-03-24,8.0,69357
2021-03-24,9.0,1986
2021-03-24,10.0,211
2021-03-25,1.0,1
2021-03-25,2.0,183
2021-03-25,3.0,1780
2021-03-25,4.0,2059
2021-03-25,5.0,1789
2021-03-25,6.0,1316
2021-03-25,7.0,50449
2021-03-25,8.0,107686
2021-03-25,9.0,2111
2021-03-25,10.0,239
2021-03-26,1.0,6
2021-03-26,2.0,232
2021-03-26,3.0,1571
2021-03-26,4.0,1721
2021-03-26,5.0,1514
2021-03-26,6.0,1217
2021-03-26,7.0,107820
2021-03-26,8.0,189920
2021-03-26,9.0,2011
2021-03-26,10.0,287
2021-03-27,1.0,3
2021-03-27,2.0,56
2021-03-27,3.0,420
2021-03-27,4.0,523
2021-03-27,5.0,511
2021-03-27,6.0,432
2021-03-27,7.0,37726
2021-03-27,8.0,66714
2021-03-27,9.0,852
2021-03-27,10.0,105
2021-03-28,2.0,2
2021-03-28,3.0,24
2021-03-28,4.0,46
2021-03-28,5.0,44
2021-03-28,6.0,19
2021-03-28,7.0,3249
2021-03-28,8.0,4540
2021-03-28,9.0,32
2021-03-28,10.0,7
2021-03-29,1.0,1
2021-03-29,2.0,119
2021-03-29,3.0,1448
2021-03-29,4.0,1961
2021-03-29,5.0,1778
2021-03-29,6.0,3744
2021-03-29,7.0,46350
2021-03-29,8.0,63576
2021-03-29,9.0,1375
2021-03-29,10.0,201
2021-03-30,1.0,2
2021-03-30,2.0,129
2021-03-30,3.0,1831
2021-03-30,4.0,2587
2021-03-30,5.0,2303
2021-03-30,6.0,2898
2021-03-30,7.0,27900
2021-03-30,8.0,29237
2021-03-30,9.0,1184
2021-03-30,10.0,183
2021-03-31,1.0,4
2021-03-31,2.0,182
2021-03-31,3.0,2143
2021-03-31,4.0,2603
2021-03-31,5.0,2433
2021-03-31,6.0,2261
2021-03-31,7.0,23459
2021-03-31,8.0,18959
2021-03-31,9.0,1019
2021-03-31,10.0,151
2021-04-01,1.0,2
2021-04-01,2.0,145
2021-04-01,3.0,1565
2021-04-01,4.0,1742
2021-04-01,5.0,1418
2021-04-01,6.0,1352
2021-04-01,7.0,48069
2021-04-01,8.0,12962
2021-04-01,9.0,870
2021-04-01,10.0,121
2021-04-02,1.0,1
2021-04-02,2.0,25
2021-04-02,3.0,202
2021-04-02,4.0,304
2021-04-02,5.0,244
2021-04-02,6.0,261
2021-04-02,7.0,51891
2021-04-02,8.0,2122
2021-04-02,9.0,169
2021-04-02,10.0,24
2021-04-03,2.0,24
2021-04-03,3.0,253
2021-04-03,4.0,269
2021-04-03,5.0,267
2021-04-03,6.0,284
2021-04-03,7.0,33177
2021-04-03,8.0,3448
2021-04-03,9.0,292
2021-04-03,10.0,37
2021-04-04,2.0,12
2021-04-04,3.0,80
2021-04-04,4.0,83
2021-04-04,5.0,78
2021-04-04,6.0,48
2021-04-04,7.0,959
2021-04-04,8.0,293
2021-04-04,9.0,16
2021-04-04,10.0,2
2021-04-05,1.0,3
2021-04-05,2.0,141
2021-04-05,3.0,4067
2021-04-05,4.0,11308
2021-04-05,5.0,15140
2021-04-05,6.0,8636
2021-04-05,7.0,98670
2021-04-05,8.0,11452
2021-04-05,9.0,970
2021-04-05,10.0,122
2021-04-06,1.0,3
2021-04-06,2.0,184
2021-04-06,3.0,5486
2021-04-06,4.0,13067
2021-04-06,5.0,16811
2021-04-06,6.0,8575
2021-04-06,7.0,40189
2021-04-06,8.0,8026
2021-04-06,9.0,737
2021-04-06,10.0,100
2021-04-07,1.0,2
2021-04-07,2.0,139
2021-04-07,3.0,4662
2021-04-07,4.0,11177
2021-04-07,5.0,13364
2021-04-07,6.0,10554
2021-04-07,7.0,25522
2021-04-07,8.0,6038
2021-04-07,9.0,682
2021-04-07,10.0,97
2021-04-08,1.0,0
2021-04-08,2.0,166
2021-04-08,3.0,4242
2021-04-08,4.0,8471
2021-04-08,5.0,9507
2021-04-08,6.0,5677
2021-04-08,7.0,17500
2021-04-08,8.0,3994
2021-04-08,9.0,535
2021-04-08,10.0,96
2021-04-09,2.0,191
2021-04-09,3.0,3265
2021-04-09,4.0,6355
2021-04-09,5.0,8211
2021-04-09,6.0,7243
2021-04-09,7.0,16447
2021-04-09,8.0,5078
2021-04-09,9.0,677
2021-04-09,10.0,105
2021-04-10,1.0,1
2021-04-10,2.0,31
2021-04-10,3.0,798
2021-04-10,4.0,1554
2021-04-10,5.0,15610
2021-04-10,6.0,38853
2021-04-10,7.0,19833
2021-04-10,8.0,1909
2021-04-10,9.0,278
2021-04-10,10.0,43
2021-04-11,1.0,2
2021-04-11,2.0,3
2021-04-11,3.0,404
2021-04-11,4.0,694
2021-04-11,5.0,1855
2021-04-11,6.0,2961
2021-04-11,7.0,4640
2021-04-11,8.0,223
2021-04-11,9.0,41
2021-04-11,10.0,0
2021-04-12,1.0,3
2021-04-12,2.0,111
2021-04-12,3.0,1740
2021-04-12,4.0,2869
2021-04-12,5.0,24291
2021-04-12,6.0,57738
2021-04-12,7.0,99206
2021-04-12,8.0,3793
2021-04-12,9.0,412
2021-04-12,10.0,68
2021-04-13,1.0,2
2021-04-13,2.0,131
2021-04-13,3.0,1345
2021-04-13,4.0,1497
2021-04-13,5.0,13477
2021-04-13,6.0,32621
2021-04-13,7.0,78438
2021-04-13,8.0,4119
2021-04-13,9.0,534
2021-04-13,10.0,61
2021-04-14,1.0,3
2021-04-14,2.0,116
2021-04-14,3.0,1128
2021-04-14,4.0,1415
2021-04-14,5.0,8541
2021-04-14,6.0,20276
2021-04-14,7.0,72579
2021-04-14,8.0,3898
2021-04-14,9.0,460
2021-04-14,10.0,70
2021-04-15,2.0,160
2021-04-15,3.0,1495
2021-04-15,4.0,1607
2021-04-15,5.0,5235
2021-04-15,6.0,10477
2021-04-15,7.0,44342
2021-04-15,8.0,3406
2021-04-15,9.0,440
2021-04-15,10.0,77
2021-04-16,1.0,5
2021-04-16,2.0,189
2021-04-16,3.0,1690
2021-04-16,4.0,1641
2021-04-16,5.0,3591
2021-04-16,6.0,6216
2021-04-16,7.0,35782
2021-04-16,8.0,3784
2021-04-16,9.0,365
2021-04-16,10.0,57
2021-04-17,1.0,0
2021-04-17,2.0,25
2021-04-17,3.0,205
2021-04-17,4.0,232
2021-04-17,5.0,1603
2021-04-17,6.0,3524
2021-04-17,7.0,14450
2021-04-17,8.0,1492
2021-04-17,9.0,207
2021-04-17,10.0,29
2021-04-18,1.0,1
2021-04-18,2.0,2
2021-04-18,3.0,46
2021-04-18,4.0,33
2021-04-18,5.0,66
2021-04-18,6.0,73
2021-04-18,7.0,9101
2021-04-18,8.0,181
2021-04-18,9.0,21
2021-04-18,10.0,2
2021-04-19,1.0,1
2021-04-19,2.0,95
2021-04-19,3.0,1122
2021-04-19,4.0,1157
2021-04-19,5.0,4685
2021-04-19,6.0,5022
2021-04-19,7.0,61444
2021-04-19,8.0,2755
2021-04-19,9.0,305
2021-04-19,10.0,40
2021-04-20,1.0,4
2021-04-20,2.0,131
2021-04-20,3.0,998
2021-04-20,4.0,1266
2021-04-20,5.0,3430
2021-04-20,6.0,3785
2021-04-20,7.0,119342
2021-04-20,8.0,3367
2021-04-20,9.0,371
2021-04-20,10.0,60
2021-04-21,1.0,7
2021-04-21,2.0,35
2021-04-21,3.0,330
2021-04-21,4.0,390
2021-04-21,5.0,1231
2021-04-21,6.0,1211
2021-04-21,7.0,231553
2021-04-21,8.0,2433
2021-04-21,9.0,328
2021-04-21,10.0,50
2021-04-22,1.0,3
2021-04-22,2.0,148
2021-04-22,3.0,1080
2021-04-22,4.0,1313
2021-04-22,5.0,1967
2021-04-22,6.0,2437
2021-04-22,7.0,129488
2021-04-22,8.0,2939
2021-04-22,9.0,354
2021-04-22,10.0,75
2021-04-23,1.0,5
2021-04-23,2.0,143
2021-04-23,3.0,1120
2021-04-23,4.0,1228
2021-04-23,5.0,1678
2021-04-23,6.0,2029
2021-04-23,7.0,202479
2021-04-23,8.0,2514
2021-04-23,9.0,378
2021-04-23,10.0,54
2021-04-24,1.0,1
2021-04-24,2.0,31
2021-04-24,3.0,296
2021-04-24,4.0,358
2021-04-24,5.0,515
2021-04-24,6.0,582
2021-04-24,7.0,51367
2021-04-24,8.0,1254
2021-04-24,9.0,188
2021-04-24,10.0,34
2021-04-25,2.0,3
2021-04-25,3.0,20
2021-04-25,4.0,39
2021-04-25,5.0,35
2021-04-25,6.0,90
2021-04-25,7.0,6008
2021-04-25,8.0,103
2021-04-25,9.0,22
2021-04-25,10.0,2
2021-04-26,1.0,1
2021-04-26,2.0,96
2021-04-26,3.0,781
2021-04-26,4.0,976
2021-04-26,5.0,1351
2021-04-26,6.0,1479
2021-04-26,7.0,88992
2021-04-26,8.0,2115
2021-04-26,9.0,290
2021-04-26,10.0,46
2021-04-27,1.0,0
2021-04-27,2.0,88
2021-04-27,3.0,956
2021-04-27,4.0,1098
2021-04-27,5.0,1398
2021-04-27,6.0,1658
2021-04-27,7.0,66196
2021-04-27,8.0,1718
2021-04-27,9.0,372
2021-04-27,10.0,48
2021-04-28,1.0,2
2021-04-28,2.0,107
2021-04-28,3.0,978
2021-04-28,4.0,1082
2021-04-28,5.0,1289
2021-04-28,6.0,1475
2021-04-28,7.0,101788
2021-04-28,8.0,1746
2021-04-28,9.0,339
2021-04-28,10.0,56
2021-04-29,1.0,5
2021-04-29,2.0,139
2021-04-29,3.0,947
2021-04-29,4.0,1222
2021-04-29,5.0,1301
2021-04-29,6.0,1435
2021-04-29,7.0,177514
2021-04-29,8.0,1758
2021-04-29,9.0,362
2021-04-29,10.0,74
2021-04-30,2.0,128
2021-04-30,3.0,1195
2021-04-30,4.0,1461
2021-04-30,5.0,1603
2021-04-30,6.0,1774
2021-04-30,7.0,77507
2021-04-30,8.0,1428
2021-04-30,9.0,293
2021-04-30,10.0,71
2021-05-01,1.0,0
2021-05-01,2.0,29
