,date,age_band,new_doses,population,rV
12770,2022/11/17,5 - 9 years,22,832055,2.64E-05
12771,2022/11/17,50 - 54 years,10,569938,1.75E-05
12773,2022/11/17,55 - 59 years,9,508722,1.77E-05
12774,2022/11/17,60 - 64 years,8,405576,1.97E-05
12775,2022/11/17,65 - 69 years,9,318142,2.83E-05
12776,2022/11/17,70 - 74 years,3,280432,1.07E-05
12778,2022/11/17,75+ years,5,499879,1.00E-05
12780,2022/11/18,10 - 14 years,18,425353,4.23E-05
12781,2022/11/18,15 - 19 years,4,194388,2.06E-05
12782,2022/11/18,20 - 24 years,30,736340,4.07E-05
12783,2022/11/18,25 - 29 years,24,757848,3.17E-05
12784,2022/11/18,30 - 34 years,27,822084,3.28E-05
12785,2022/11/18,35 - 39 years,17,779934,2.18E-05
12786,2022/11/18,40 - 44 years,10,677463,1.48E-05
12787,2022/11/18,45 - 49 years,10,598535,1.67E-05
12788,2022/11/18,5 - 9 years,74,832055,8.89E-05
12789,2022/11/18,50 - 54 years,14,569938,2.46E-05
12791,2022/11/18,55 - 59 years,11,508722,2.16E-05
12792,2022/11/18,60 - 64 years,4,405576,9.86E-06
12793,2022/11/18,65 - 69 years,11,318142,3.46E-05
12794,2022/11/18,70 - 74 years,5,280432,1.78E-05
12796,2022/11/18,75+ years,9,499879,1.80E-05
12798,2022/11/19,10 - 14 years,56,425353,0.000131655
12799,2022/11/19,15 - 19 years,6,194388,3.09E-05
12800,2022/11/19,20 - 24 years,23,736340,3.12E-05
12801,2022/11/19,25 - 29 years,13,757848,1.72E-05
12802,2022/11/19,30 - 34 years,14,822084,1.70E-05
12803,2022/11/19,35 - 39 years,13,779934,1.67E-05
12804,2022/11/19,40 - 44 years,17,677463,2.51E-05
12805,2022/11/19,45 - 49 years,8,598535,1.34E-05
12806,2022/11/19,5 - 9 years,153,832055,0.000183882
12807,2022/11/19,50 - 54 years,14,569938,2.46E-05
12809,2022/11/19,55 - 59 years,5,508722,9.83E-06
12810,2022/11/19,60 - 64 years,10,405576,2.47E-05
12811,2022/11/19,65 - 69 years,7,318142,2.20E-05
12812,2022/11/19,70 - 74 years,5,280432,1.78E-05
12814,2022/11/19,75+ years,10,499879,2.00E-05
12816,2022/11/20,10 - 14 years,15,425353,3.53E-05
12817,2022/11/20,15 - 19 years,1,194388,5.14E-06
12818,2022/11/20,20 - 24 years,8,736340,1.09E-05
12819,2022/11/20,25 - 29 years,4,757848,5.28E-06
12820,2022/11/20,30 - 34 years,2,822084,2.43E-06
12821,2022/11/20,35 - 39 years,2,779934,2.56E-06
12822,2022/11/20,40 - 44 years,4,677463,5.90E-06
12823,2022/11/20,45 - 49 years,1,598535,1.67E-06
12824,2022/11/20,5 - 9 years,68,832055,8.17E-05
12825,2022/11/20,50 - 54 years,2,569938,3.51E-06
12827,2022/11/20,55 - 59 years,0,508722,0
12828,2022/11/20,60 - 64 years,1,405576,2.47E-06
12829,2022/11/20,65 - 69 years,1,318142,3.14E-06
12830,2022/11/20,70 - 74 years,1,280432,3.57E-06
12832,2022/11/20,75+ years,1,499879,2.00E-06
12834,2022/11/21,10 - 14 years,13,425353,3.06E-05
12835,2022/11/21,15 - 19 years,2,194388,1.03E-05
12836,2022/11/21,20 - 24 years,20,736340,2.72E-05
12837,2022/11/21,25 - 29 years,29,757848,3.83E-05
12838,2022/11/21,30 - 34 years,14,822084,1.70E-05
12839,2022/11/21,35 - 39 years,15,779934,1.92E-05
12840,2022/11/21,40 - 44 years,10,677463,1.48E-05
12841,2022/11/21,45 - 49 years,5,598535,8.35E-06
12842,2022/11/21,5 - 9 years,20,832055,2.40E-05
12843,2022/11/21,50 - 54 years,8,569938,1.40E-05
12845,2022/11/21,55 - 59 years,6,508722,1.18E-05
12846,2022/11/21,60 - 64 years,5,405576,1.23E-05
12847,2022/11/21,65 - 69 years,6,318142,1.89E-05
12848,2022/11/21,70 - 74 years,5,280432,1.78E-05
12850,2022/11/21,75+ years,6,499879,1.20E-05
12852,2022/11/22,10 - 14 years,9,425353,2.12E-05
12853,2022/11/22,15 - 19 years,3,194388,1.54E-05
12854,2022/11/22,20 - 24 years,19,736340,2.58E-05
12855,2022/11/22,25 - 29 years,24,757848,3.17E-05
12856,2022/11/22,30 - 34 years,16,822084,1.95E-05
12857,2022/11/22,35 - 39 years,18,779934,2.31E-05
12858,2022/11/22,40 - 44 years,10,677463,1.48E-05
12859,2022/11/22,45 - 49 years,9,598535,1.50E-05
12860,2022/11/22,5 - 9 years,27,832055,3.24E-05
12861,2022/11/22,50 - 54 years,7,569938,1.23E-05
12863,2022/11/22,55 - 59 years,2,508722,3.93E-06
12864,2022/11/22,60 - 64 years,6,405576,1.48E-05
12865,2022/11/22,65 - 69 years,8,318142,2.51E-05
12866,2022/11/22,70 - 74 years,5,280432,1.78E-05
12868,2022/11/22,75+ years,7,499879,1.40E-05
12870,2022/11/23,10 - 14 years,13,425353,3.06E-05
12871,2022/11/23,15 - 19 years,4,194388,2.06E-05
12872,2022/11/23,20 - 24 years,26,736340,3.53E-05
12873,2022/11/23,25 - 29 years,19,757848,2.51E-05
12874,2022/11/23,30 - 34 years,19,822084,2.31E-05
12875,2022/11/23,35 - 39 years,17,779934,2.18E-05
12876,2022/11/23,40 - 44 years,16,677463,2.36E-05
12877,2022/11/23,45 - 49 years,5,598535,8.35E-06
12878,2022/11/23,5 - 9 years,12,832055,1.44E-05
12879,2022/11/23,50 - 54 years,5,569938,8.77E-06
12881,2022/11/23,55 - 59 years,6,508722,1.18E-05
12882,2022/11/23,60 - 64 years,10,405576,2.47E-05
12883,2022/11/23,65 - 69 years,8,318142,2.51E-05
12884,2022/11/23,70 - 74 years,7,280432,2.50E-05
12886,2022/11/23,75+ years,7,499879,1.40E-05
12888,2022/11/24,10 - 14 years,3,425353,7.05E-06
12889,2022/11/24,15 - 19 years,4,194388,2.06E-05
12890,2022/11/24,20 - 24 years,20,736340,2.72E-05
12891,2022/11/24,25 - 29 years,23,757848,3.03E-05
12892,2022/11/24,30 - 34 years,18,822084,2.19E-05
12893,2022/11/24,35 - 39 years,11,779934,1.41E-05
12894,2022/11/24,40 - 44 years,8,677463,1.18E-05
12895,2022/11/24,45 - 49 years,3,598535,5.01E-06
12896,2022/11/24,5 - 9 years,7,832055,8.41E-06
12897,2022/11/24,50 - 54 years,5,569938,8.77E-06
12899,2022/11/24,55 - 59 years,10,508722,1.97E-05
12900,2022/11/24,60 - 64 years,10,405576,2.47E-05
12901,2022/11/24,65 - 69 years,6,318142,1.89E-05
12902,2022/11/24,70 - 74 years,6,280432,2.14E-05
12904,2022/11/24,75+ years,11,499879,2.20E-05
12906,2022/11/25,10 - 14 years,30,425353,7.05E-05
12907,2022/11/25,15 - 19 years,3,194388,1.54E-05
12908,2022/11/25,20 - 24 years,26,736340,3.53E-05
12909,2022/11/25,25 - 29 years,25,757848,3.30E-05
12910,2022/11/25,30 - 34 years,35,822084,4.26E-05
12911,2022/11/25,35 - 39 years,13,779934,1.67E-05
12912,2022/11/25,40 - 44 years,11,677463,1.62E-05
12913,2022/11/25,45 - 49 years,10,598535,1.67E-05
12914,2022/11/25,5 - 9 years,64,832055,7.69E-05
12915,2022/11/25,50 - 54 years,7,569938,1.23E-05
12917,2022/11/25,55 - 59 years,12,508722,2.36E-05
12918,2022/11/25,60 - 64 years,10,405576,2.47E-05
12919,2022/11/25,65 - 69 years,4,318142,1.26E-05
12920,2022/11/25,70 - 74 years,4,280432,1.43E-05
12922,2022/11/25,75+ years,6,499879,1.20E-05
12924,2022/11/26,10 - 14 years,35,425353,8.23E-05
12925,2022/11/26,15 - 19 years,8,194388,4.12E-05
12926,2022/11/26,20 - 24 years,18,736340,2.44E-05
12927,2022/11/26,25 - 29 years,34,757848,4.49E-05
12928,2022/11/26,30 - 34 years,15,822084,1.82E-05
12929,2022/11/26,35 - 39 years,13,779934,1.67E-05
12930,2022/11/26,40 - 44 years,9,677463,1.33E-05
12931,2022/11/26,45 - 49 years,5,598535,8.35E-06
12932,2022/11/26,5 - 9 years,106,832055,0.000127395
12933,2022/11/26,50 - 54 years,11,569938,1.93E-05
12935,2022/11/26,55 - 59 years,9,508722,1.77E-05
12936,2022/11/26,60 - 64 years,3,405576,7.40E-06
12937,2022/11/26,65 - 69 years,3,318142,9.43E-06
12938,2022/11/26,70 - 74 years,3,280432,1.07E-05
12940,2022/11/26,75+ years,5,499879,1.00E-05
12942,2022/11/27,10 - 14 years,12,425353,2.82E-05
12943,2022/11/27,15 - 19 years,0,194388,0
12944,2022/11/27,20 - 24 years,8,736340,1.09E-05
12945,2022/11/27,25 - 29 years,3,757848,3.96E-06
12946,2022/11/27,30 - 34 years,5,822084,6.08E-06
12947,2022/11/27,35 - 39 years,7,779934,8.98E-06
12948,2022/11/27,40 - 44 years,1,677463,1.48E-06
12949,2022/11/27,45 - 49 years,0,598535,0
12950,2022/11/27,5 - 9 years,80,832055,9.61E-05
12951,2022/11/27,50 - 54 years,2,569938,3.51E-06
12953,2022/11/27,55 - 59 years,2,508722,3.93E-06
12954,2022/11/27,60 - 64 years,0,405576,0
12955,2022/11/27,65 - 69 years,2,318142,6.29E-06
12956,2022/11/27,70 - 74 years,1,280432,3.57E-06
12958,2022/11/27,75+ years,2,499879,4.00E-06
12960,2022/11/28,10 - 14 years,7,425353,1.65E-05
12961,2022/11/28,15 - 19 years,0,194388,0
12962,2022/11/28,20 - 24 years,19,736340,2.58E-05
12963,2022/11/28,25 - 29 years,25,757848,3.30E-05
12964,2022/11/28,30 - 34 years,18,822084,2.19E-05
12965,2022/11/28,35 - 39 years,10,779934,1.28E-05
12966,2022/11/28,40 - 44 years,4,677463,5.90E-06
12967,2022/11/28,45 - 49 years,10,598535,1.67E-05
12968,2022/11/28,5 - 9 years,20,832055,2.40E-05
12969,2022/11/28,50 - 54 years,8,569938,1.40E-05
12971,2022/11/28,55 - 59 years,8,508722,1.57E-05
12972,2022/11/28,60 - 64 years,3,405576,7.40E-06
12973,2022/11/28,65 - 69 years,1,318142,3.14E-06
12974,2022/11/28,70 - 74 years,5,280432,1.78E-05
12976,2022/11/28,75+ years,6,499879,1.20E-05
12978,2022/11/29,10 - 14 years,11,425353,2.59E-05
12979,2022/11/29,15 - 19 years,4,194388,2.06E-05
12980,2022/11/29,20 - 24 years,26,736340,3.53E-05
12981,2022/11/29,25 - 29 years,27,757848,3.56E-05
12982,2022/11/29,30 - 34 years,20,822084,2.43E-05
12983,2022/11/29,35 - 39 years,15,779934,1.92E-05
12984,2022/11/29,40 - 44 years,9,677463,1.33E-05
12985,2022/11/29,45 - 49 years,7,598535,1.17E-05
12986,2022/11/29,5 - 9 years,25,832055,3.00E-05
12987,2022/11/29,50 - 54 years,15,569938,2.63E-05
12989,2022/11/29,55 - 59 years,8,508722,1.57E-05
12990,2022/11/29,60 - 64 years,4,405576,9.86E-06
12991,2022/11/29,65 - 69 years,4,318142,1.26E-05
12992,2022/11/29,70 - 74 years,3,280432,1.07E-05
12994,2022/11/29,75+ years,11,499879,2.20E-05
12996,2022/11/30,10 - 14 years,8,425353,1.88E-05
12997,2022/11/30,15 - 19 years,4,194388,2.06E-05
12998,2022/11/30,20 - 24 years,16,736340,2.17E-05
12999,2022/11/30,25 - 29 years,24,757848,3.17E-05
13000,2022/11/30,30 - 34 years,18,822084,2.19E-05
13001,2022/11/30,35 - 39 years,17,779934,2.18E-05
13002,2022/11/30,40 - 44 years,7,677463,1.03E-05
13003,2022/11/30,45 - 49 years,6,598535,1.00E-05
13004,2022/11/30,5 - 9 years,15,832055,1.80E-05
13005,2022/11/30,50 - 54 years,8,569938,1.40E-05
13007,2022/11/30,55 - 59 years,4,508722,7.86E-06
13008,2022/11/30,60 - 64 years,4,405576,9.86E-06
13009,2022/11/30,65 - 69 years,5,318142,1.57E-05
13010,2022/11/30,70 - 74 years,6,280432,2.14E-05
13012,2022/11/30,75+ years,1,499879,2.00E-06
13014,2022/12/1,10 - 14 years,4,425353,9.40E-06
13015,2022/12/1,15 - 19 years,2,194388,1.03E-05
13016,2022/12/1,20 - 24 years,22,736340,2.99E-05
13017,2022/12/1,25 - 29 years,12,757848,1.58E-05
13018,2022/12/1,30 - 34 years,14,822084,1.70E-05
13019,2022/12/1,35 - 39 years,12,779934,1.54E-05
13020,2022/12/1,40 - 44 years,4,677463,5.90E-06
13021,2022/12/1,45 - 49 years,4,598535,6.68E-06
13022,2022/12/1,5 - 9 years,13,832055,1.56E-05
13023,2022/12/1,50 - 54 years,7,569938,1.23E-05
13025,2022/12/1,55 - 59 years,5,508722,9.83E-06
13026,2022/12/1,60 - 64 years,5,405576,1.23E-05
13027,2022/12/1,65 - 69 years,6,318142,1.89E-05
13028,2022/12/1,70 - 74 years,6,280432,2.14E-05
13030,2022/12/1,75+ years,6,499879,1.20E-05
13032,2022/12/2,10 - 14 years,18,425353,4.23E-05
13033,2022/12/2,15 - 19 years,4,194388,2.06E-05
13034,2022/12/2,20 - 24 years,34,736340,4.62E-05
13035,2022/12/2,25 - 29 years,26,757848,3.43E-05
13036,2022/12/2,30 - 34 years,13,822084,1.58E-05
13037,2022/12/2,35 - 39 years,13,779934,1.67E-05
13038,2022/12/2,40 - 44 years,13,677463,1.92E-05
13039,2022/12/2,45 - 49 years,6,598535,1.00E-05
13040,2022/12/2,5 - 9 years,42,832055,5.05E-05
13041,2022/12/2,50 - 54 years,4,569938,7.02E-06
13043,2022/12/2,55 - 59 years,9,508722,1.77E-05
13044,2022/12/2,60 - 64 years,9,405576,2.22E-05
13045,2022/12/2,65 - 69 years,5,318142,1.57E-05
13046,2022/12/2,70 - 74 years,4,280432,1.43E-05
13048,2022/12/2,75+ years,4,499879,8.00E-06
13050,2022/12/3,10 - 14 years,36,425353,8.46E-05
13051,2022/12/3,15 - 19 years,8,194388,4.12E-05
13052,2022/12/3,20 - 24 years,27,736340,3.67E-05
13053,2022/12/3,25 - 29 years,24,757848,3.17E-05
13054,2022/12/3,30 - 34 years,21,822084,2.55E-05
13055,2022/12/3,35 - 39 years,6,779934,7.69E-06
13056,2022/12/3,40 - 44 years,4,677463,5.90E-06
13057,2022/12/3,45 - 49 years,9,598535,1.50E-05
13058,2022/12/3,5 - 9 years,107,832055,0.000128597
13059,2022/12/3,50 - 54 years,7,569938,1.23E-05
13061,2022/12/3,55 - 59 years,3,508722,5.90E-06
13062,2022/12/3,60 - 64 years,9,405576,2.22E-05
13063,2022/12/3,65 - 69 years,7,318142,2.20E-05
13064,2022/12/3,70 - 74 years,5,280432,1.78E-05
13066,2022/12/3,75+ years,3,499879,6.00E-06
13068,2022/12/4,10 - 14 years,9,425353,2.12E-05
13069,2022/12/4,15 - 19 years,3,194388,1.54E-05
13070,2022/12/4,20 - 24 years,3,736340,4.07E-06
13071,2022/12/4,25 - 29 years,4,757848,5.28E-06
13072,2022/12/4,30 - 34 years,1,822084,1.22E-06
13073,2022/12/4,35 - 39 years,3,779934,3.85E-06
13074,2022/12/4,40 - 44 years,1,677463,1.48E-06
13075,2022/12/4,45 - 49 years,0,598535,0
13076,2022/12/4,5 - 9 years,43,832055,5.17E-05
13077,2022/12/4,50 - 54 years,0,569938,0
13079,2022/12/4,55 - 59 years,1,508722,1.97E-06
13080,2022/12/4,60 - 64 years,2,405576,4.93E-06
13081,2022/12/4,65 - 69 years,2,318142,6.29E-06
13082,2022/12/4,70 - 74 years,0,280432,0
13084,2022/12/4,75+ years,1,499879,2.00E-06
13086,2022/12/5,10 - 14 years,6,425353,1.41E-05
13087,2022/12/5,15 - 19 years,0,194388,0
13088,2022/12/5,20 - 24 years,23,736340,3.12E-05
13089,2022/12/5,25 - 29 years,13,757848,1.72E-05
13090,2022/12/5,30 - 34 years,12,822084,1.46E-05
13091,2022/12/5,35 - 39 years,16,779934,2.05E-05
13092,2022/12/5,40 - 44 years,6,677463,8.86E-06
13093,2022/12/5,45 - 49 years,4,598535,6.68E-06
13094,2022/12/5,5 - 9 years,20,832055,2.40E-05
13095,2022/12/5,50 - 54 years,10,569938,1.75E-05
13097,2022/12/5,55 - 59 years,7,508722,1.38E-05
13098,2022/12/5,60 - 64 years,5,405576,1.23E-05
13099,2022/12/5,65 - 69 years,4,318142,1.26E-05
13100,2022/12/5,70 - 74 years,1,280432,3.57E-06
13102,2022/12/5,75+ years,4,499879,8.00E-06
13104,2022/12/6,10 - 14 years,8,425353,1.88E-05
13105,2022/12/6,15 - 19 years,2,194388,1.03E-05
13106,2022/12/6,20 - 24 years,16,736340,2.17E-05
13107,2022/12/6,25 - 29 years,19,757848,2.51E-05
13108,2022/12/6,30 - 34 years,18,822084,2.19E-05
13109,2022/12/6,35 - 39 years,15,779934,1.92E-05
13110,2022/12/6,40 - 44 years,7,677463,1.03E-05
13111,2022/12/6,45 - 49 years,6,598535,1.00E-05
13112,2022/12/6,5 - 9 years,12,832055,1.44E-05
13113,2022/12/6,50 - 54 years,8,569938,1.40E-05
13115,2022/12/6,55 - 59 years,6,508722,1.18E-05
13116,2022/12/6,60 - 64 years,1,405576,2.47E-06
13117,2022/12/6,65 - 69 years,8,318142,2.51E-05
13118,2022/12/6,70 - 74 years,2,280432,7.13E-06
13120,2022/12/6,75+ years,6,499879,1.20E-05
13122,2022/12/7,10 - 14 years,10,425353,2.35E-05
13123,2022/12/7,15 - 19 years,2,194388,1.03E-05
13124,2022/12/7,20 - 24 years,25,736340,3.40E-05
13125,2022/12/7,25 - 29 years,11,757848,1.45E-05
13126,2022/12/7,30 - 34 years,16,822084,1.95E-05
13127,2022/12/7,35 - 39 years,16,779934,2.05E-05
13128,2022/12/7,40 - 44 years,9,677463,1.33E-05
13129,2022/12/7,45 - 49 years,4,598535,6.68E-06
13130,2022/12/7,5 - 9 years,21,832055,2.52E-05
13131,2022/12/7,50 - 54 years,4,569938,7.02E-06
13133,2022/12/7,55 - 59 years,3,508722,5.90E-06
13134,2022/12/7,60 - 64 years,5,405576,1.23E-05
13135,2022/12/7,65 - 69 years,4,318142,1.26E-05
13136,2022/12/7,70 - 74 years,5,280432,1.78E-05
13138,2022/12/7,75+ years,9,499879,1.80E-05
13140,2022/12/8,10 - 14 years,5,425353,1.18E-05
13141,2022/12/8,15 - 19 years,3,194388,1.54E-05
13142,2022/12/8,20 - 24 years,17,736340,2.31E-05
13143,2022/12/8,25 - 29 years,16,757848,2.11E-05
13144,2022/12/8,30 - 34 years,10,822084,1.22E-05
13145,2022/12/8,35 - 39 years,8,779934,1.03E-05
13146,2022/12/8,40 - 44 years,5,677463,7.38E-06
13147,2022/12/8,45 - 49 years,3,598535,5.01E-06
13148,2022/12/8,5 - 9 years,7,832055,8.41E-06
13149,2022/12/8,50 - 54 years,4,569938,7.02E-06
13151,2022/12/8,55 - 59 years,8,508722,1.57E-05
13152,2022/12/8,60 - 64 years,9,405576,2.22E-05
13153,2022/12/8,65 - 69 years,3,318142,9.43E-06
13154,2022/12/8,70 - 74 years,6,280432,2.14E-05
13156,2022/12/8,75+ years,2,499879,4.00E-06
13158,2022/12/9,10 - 14 years,12,425353,2.82E-05
13159,2022/12/9,15 - 19 years,4,194388,2.06E-05
13160,2022/12/9,20 - 24 years,16,736340,2.17E-05
13161,2022/12/9,25 - 29 years,19,757848,2.51E-05
13162,2022/12/9,30 - 34 years,22,822084,2.68E-05
13163,2022/12/9,35 - 39 years,7,779934,8.98E-06
13164,2022/12/9,40 - 44 years,5,677463,7.38E-06
13165,2022/12/9,45 - 49 years,6,598535,1.00E-05
13166,2022/12/9,5 - 9 years,51,832055,6.13E-05
13167,2022/12/9,50 - 54 years,6,569938,1.05E-05
13169,2022/12/9,55 - 59 years,10,508722,1.97E-05
13170,2022/12/9,60 - 64 years,5,405576,1.23E-05
13171,2022/12/9,65 - 69 years,1,318142,3.14E-06
13172,2022/12/9,70 - 74 years,2,280432,7.13E-06
13174,2022/12/9,75+ years,5,499879,1.00E-05
13176,2022/12/10,10 - 14 years,47,425353,0.000110496
13177,2022/12/10,15 - 19 years,10,194388,5.14E-05
13178,2022/12/10,20 - 24 years,20,736340,2.72E-05
13179,2022/12/10,25 - 29 years,19,757848,2.51E-05
13180,2022/12/10,30 - 34 years,18,822084,2.19E-05
13181,2022/12/10,35 - 39 years,10,779934,1.28E-05
13182,2022/12/10,40 - 44 years,11,677463,1.62E-05
13183,2022/12/10,45 - 49 years,6,598535,1.00E-05
13184,2022/12/10,5 - 9 years,80,832055,9.61E-05
13185,2022/12/10,50 - 54 years,6,569938,1.05E-05
13187,2022/12/10,55 - 59 years,2,508722,3.93E-06
13188,2022/12/10,60 - 64 years,7,405576,1.73E-05
13189,2022/12/10,65 - 69 years,4,318142,1.26E-05
13190,2022/12/10,70 - 74 years,3,280432,1.07E-05
13192,2022/12/10,75+ years,3,499879,6.00E-06
13194,2022/12/11,10 - 14 years,11,425353,2.59E-05
13195,2022/12/11,15 - 19 years,1,194388,5.14E-06
13196,2022/12/11,20 - 24 years,2,736340,2.72E-06
13197,2022/12/11,25 - 29 years,2,757848,2.64E-06
13198,2022/12/11,30 - 34 years,4,822084,4.87E-06
13199,2022/12/11,35 - 39 years,2,779934,2.56E-06
13200,2022/12/11,40 - 44 years,0,677463,0
13201,2022/12/11,45 - 49 years,0,598535,0
13202,2022/12/11,5 - 9 years,40,832055,4.81E-05
13203,2022/12/11,50 - 54 years,0,569938,0
13205,2022/12/11,55 - 59 years,2,508722,3.93E-06
13206,2022/12/11,60 - 64 years,0,405576,0
13207,2022/12/11,65 - 69 years,1,318142,3.14E-06
13208,2022/12/11,70 - 74 years,1,280432,3.57E-06
13210,2022/12/11,75+ years,0,499879,0
13212,2022/12/12,10 - 14 years,1,425353,2.35E-06
13213,2022/12/12,15 - 19 years,4,194388,2.06E-05
13214,2022/12/12,20 - 24 years,18,736340,2.44E-05
13215,2022/12/12,25 - 29 years,14,757848,1.85E-05
13216,2022/12/12,30 - 34 years,15,822084,1.82E-05
13217,2022/12/12,35 - 39 years,9,779934,1.15E-05
13218,2022/12/12,40 - 44 years,4,677463,5.90E-06
13219,2022/12/12,45 - 49 years,3,598535,5.01E-06
13220,2022/12/12,5 - 9 years,10,832055,1.20E-05
13221,2022/12/12,50 - 54 years,6,569938,1.05E-05
13223,2022/12/12,55 - 59 years,4,508722,7.86E-06
13224,2022/12/12,60 - 64 years,1,405576,2.47E-06
13225,2022/12/12,65 - 69 years,5,318142,1.57E-05
13226,2022/12/12,70 - 74 years,0,280432,0
13228,2022/12/12,75+ years,5,499879,1.00E-05
13230,2022/12/13,10 - 14 years,6,425353,1.41E-05
13231,2022/12/13,15 - 19 years,1,194388,5.14E-06
13232,2022/12/13,20 - 24 years,13,736340,1.77E-05
13233,2022/12/13,25 - 29 years,17,757848,2.24E-05
13234,2022/12/13,30 - 34 years,9,822084,1.09E-05
13235,2022/12/13,35 - 39 years,12,779934,1.54E-05
13236,2022/12/13,40 - 44 years,3,677463,4.43E-06
13237,2022/12/13,45 - 49 years,3,598535,5.01E-06
13238,2022/12/13,5 - 9 years,7,832055,8.41E-06
13239,2022/12/13,50 - 54 years,2,569938,3.51E-06
13241,2022/12/13,55 - 59 years,3,508722,5.90E-06
13242,2022/12/13,60 - 64 years,4,405576,9.86E-06
13243,2022/12/13,65 - 69 years,2,318142,6.29E-06
13244,2022/12/13,70 - 74 years,4,280432,1.43E-05
13246,2022/12/13,75+ years,3,499879,6.00E-06
13248,2022/12/14,10 - 14 years,2,425353,4.70E-06
13249,2022/12/14,15 - 19 years,2,194388,1.03E-05
13250,2022/12/14,20 - 24 years,14,736340,1.90E-05
13251,2022/12/14,25 - 29 years,18,757848,2.38E-05
13252,2022/12/14,30 - 34 years,19,822084,2.31E-05
13253,2022/12/14,35 - 39 years,17,779934,2.18E-05
13254,2022/12/14,40 - 44 years,7,677463,1.03E-05
13255,2022/12/14,45 - 49 years,9,598535,1.50E-05
13256,2022/12/14,5 - 9 years,3,832055,3.61E-06
13257,2022/12/14,50 - 54 years,10,569938,1.75E-05
13259,2022/12/14,55 - 59 years,7,508722,1.38E-05
13260,2022/12/14,60 - 64 years,5,405576,1.23E-05
13261,2022/12/14,65 - 69 years,7,318142,2.20E-05
13262,2022/12/14,70 - 74 years,6,280432,2.14E-05
13264,2022/12/14,75+ years,2,499879,4.00E-06
13266,2022/12/15,10 - 14 years,2,425353,4.70E-06
13267,2022/12/15,15 - 19 years,2,194388,1.03E-05
13268,2022/12/15,20 - 24 years,16,736340,2.17E-05
13269,2022/12/15,25 - 29 years,11,757848,1.45E-05
13270,2022/12/15,30 - 34 years,11,822084,1.34E-05
13271,2022/12/15,35 - 39 years,7,779934,8.98E-06
13272,2022/12/15,40 - 44 years,2,677463,2.95E-06
13273,2022/12/15,45 - 49 years,7,598535,1.17E-05
13274,2022/12/15,5 - 9 years,3,832055,3.61E-06
13275,2022/12/15,50 - 54 years,3,569938,5.26E-06
13277,2022/12/15,55 - 59 years,5,508722,9.83E-06
13278,2022/12/15,60 - 64 years,6,405576,1.48E-05
13279,2022/12/15,65 - 69 years,2,318142,6.29E-06
13280,2022/12/15,70 - 74 years,0,280432,0
13282,2022/12/15,75+ years,1,499879,2.00E-06
13284,2022/12/16,10 - 14 years,8,425353,1.88E-05
13285,2022/12/16,15 - 19 years,0,194388,0
13286,2022/12/16,20 - 24 years,19,736340,2.58E-05
13287,2022/12/16,25 - 29 years,14,757848,1.85E-05
13288,2022/12/16,30 - 34 years,14,822084,1.70E-05
13289,2022/12/16,35 - 39 years,17,779934,2.18E-05
13290,2022/12/16,40 - 44 years,15,677463,2.21E-05
13291,2022/12/16,45 - 49 years,7,598535,1.17E-05
13292,2022/12/16,5 - 9 years,25,832055,3.00E-05
13293,2022/12/16,50 - 54 years,9,569938,1.58E-05
13295,2022/12/16,55 - 59 years,5,508722,9.83E-06
13296,2022/12/16,60 - 64 years,7,405576,1.73E-05
13297,2022/12/16,65 - 69 years,0,318142,0
13298,2022/12/16,70 - 74 years,3,280432,1.07E-05
13300,2022/12/16,75+ years,5,499879,1.00E-05
13302,2022/12/17,10 - 14 years,16,425353,3.76E-05
13303,2022/12/17,15 - 19 years,6,194388,3.09E-05
13304,2022/12/17,20 - 24 years,20,736340,2.72E-05
13305,2022/12/17,25 - 29 years,15,757848,1.98E-05
13306,2022/12/17,30 - 34 years,9,822084,1.09E-05
13307,2022/12/17,35 - 39 years,4,779934,5.13E-06
13308,2022/12/17,40 - 44 years,5,677463,7.38E-06
13309,2022/12/17,45 - 49 years,5,598535,8.35E-06
13310,2022/12/17,5 - 9 years,66,832055,7.93E-05
13311,2022/12/17,50 - 54 years,9,569938,1.58E-05
13313,2022/12/17,55 - 59 years,5,508722,9.83E-06
13314,2022/12/17,60 - 64 years,6,405576,1.48E-05
13315,2022/12/17,65 - 69 years,4,318142,1.26E-05
13316,2022/12/17,70 - 74 years,0,280432,0
13318,2022/12/17,75+ years,2,499879,4.00E-06
13320,2022/12/18,10 - 14 years,4,425353,9.40E-06
13321,2022/12/18,15 - 19 years,0,194388,0
13322,2022/12/18,20 - 24 years,9,736340,1.22E-05
13323,2022/12/18,25 - 29 years,1,757848,1.32E-06
13324,2022/12/18,30 - 34 years,3,822084,3.65E-06
13325,2022/12/18,35 - 39 years,2,779934,2.56E-06
13326,2022/12/18,40 - 44 years,0,677463,0
13327,2022/12/18,45 - 49 years,0,598535,0
13328,2022/12/18,5 - 9 years,36,832055,4.33E-05
13329,2022/12/18,50 - 54 years,0,569938,0
13331,2022/12/18,55 - 59 years,0,508722,0
13332,2022/12/18,60 - 64 years,2,405576,4.93E-06
13333,2022/12/18,65 - 69 years,1,318142,3.14E-06
13334,2022/12/18,70 - 74 years,2,280432,7.13E-06
13336,2022/12/18,75+ years,1,499879,2.00E-06
13338,2022/12/19,10 - 14 years,19,425353,4.47E-05
