,C1M_School.closing,Date,datetime
213,3,20200801,2020/8/1
214,3,20200802,2020/8/2
215,3,20200803,2020/8/3
216,3,20200804,2020/8/4
217,3,20200805,2020/8/5
218,3,20200806,2020/8/6
219,3,20200807,2020/8/7
220,3,20200808,2020/8/8
221,3,20200809,2020/8/9
222,3,20200810,2020/8/10
223,3,20200811,2020/8/11
224,3,20200812,2020/8/12
225,3,20200813,2020/8/13
226,3,20200814,2020/8/14
227,3,20200815,2020/8/15
228,3,20200816,2020/8/16
229,3,20200817,2020/8/17
230,3,20200818,2020/8/18
231,3,20200819,2020/8/19
232,3,20200820,2020/8/20
233,3,20200821,2020/8/21
234,3,20200822,2020/8/22
235,3,20200823,2020/8/23
236,3,20200824,2020/8/24
237,3,20200825,2020/8/25
238,3,20200826,2020/8/26
239,3,20200827,2020/8/27
240,3,20200828,2020/8/28
241,3,20200829,2020/8/29
242,3,20200830,2020/8/30
243,3,20200831,2020/8/31
244,3,20200901,2020/9/1
245,3,20200902,2020/9/2
246,3,20200903,2020/9/3
247,3,20200904,2020/9/4
248,3,20200905,2020/9/5
249,3,20200906,2020/9/6
250,3,20200907,2020/9/7
251,3,20200908,2020/9/8
252,3,20200909,2020/9/9
253,3,20200910,2020/9/10
254,3,20200911,2020/9/11
255,3,20200912,2020/9/12
256,3,20200913,2020/9/13
257,3,20200914,2020/9/14
258,3,20200915,2020/9/15
259,3,20200916,2020/9/16
260,3,20200917,2020/9/17
261,3,20200918,2020/9/18
262,3,20200919,2020/9/19
263,3,20200920,2020/9/20
264,2,20200921,2020/9/21
265,2,20200922,2020/9/22
266,2,20200923,2020/9/23
267,2,20200924,2020/9/24
268,2,20200925,2020/9/25
269,2,20200926,2020/9/26
270,2,20200927,2020/9/27
271,2,20200928,2020/9/28
272,2,20200929,2020/9/29
273,2,20200930,2020/9/30
274,1,20201001,2020/10/1
275,1,20201002,2020/10/2
276,1,20201003,2020/10/3
277,1,20201004,2020/10/4
278,1,20201005,2020/10/5
279,1,20201006,2020/10/6
280,1,20201007,2020/10/7
281,1,20201008,2020/10/8
282,1,20201009,2020/10/9
283,1,20201010,2020/10/10
284,1,20201011,2020/10/11
285,1,20201012,2020/10/12
286,1,20201013,2020/10/13
287,1,20201014,2020/10/14
288,1,20201015,2020/10/15
289,1,20201016,2020/10/16
290,1,20201017,2020/10/17
291,1,20201018,2020/10/18
292,1,20201019,2020/10/19
293,1,20201020,2020/10/20
294,1,20201021,2020/10/21
295,1,20201022,2020/10/22
296,2,20201023,2020/10/23
297,2,20201024,2020/10/24
298,2,20201025,2020/10/25
299,2,20201026,2020/10/26
300,2,20201027,2020/10/27
301,2,20201028,2020/10/28
302,2,20201029,2020/10/29
303,2,20201030,2020/10/30
304,2,20201031,2020/10/31
305,2,20201101,2020/11/1
306,2,20201102,2020/11/2
307,2,20201103,2020/11/3
308,2,20201104,2020/11/4
309,2,20201105,2020/11/5
310,2,20201106,2020/11/6
311,2,20201107,2020/11/7
312,2,20201108,2020/11/8
313,2,20201109,2020/11/9
314,2,20201110,2020/11/10
315,2,20201111,2020/11/11
316,2,20201112,2020/11/12
317,2,20201113,2020/11/13
318,2,20201114,2020/11/14
319,2,20201115,2020/11/15
320,2,20201116,2020/11/16
321,2,20201117,2020/11/17
322,2,20201118,2020/11/18
323,2,20201119,2020/11/19
324,2,20201120,2020/11/20
325,2,20201121,2020/11/21
326,2,20201122,2020/11/22
327,2,20201123,2020/11/23
328,2,20201124,2020/11/24
329,2,20201125,2020/11/25
330,2,20201126,2020/11/26
331,2,20201127,2020/11/27
332,2,20201128,2020/11/28
333,2,20201129,2020/11/29
334,2,20201130,2020/11/30
335,2,20201201,2020/12/1
336,2,20201202,2020/12/2
337,2,20201203,2020/12/3
338,2,20201204,2020/12/4
339,2,20201205,2020/12/5
340,2,20201206,2020/12/6
341,2,20201207,2020/12/7
342,2,20201208,2020/12/8
343,2,20201209,2020/12/9
344,2,20201210,2020/12/10
345,2,20201211,2020/12/11
346,2,20201212,2020/12/12
347,2,20201213,2020/12/13
348,2,20201214,2020/12/14
349,2,20201215,2020/12/15
350,2,20201216,2020/12/16
351,2,20201217,2020/12/17
352,2,20201218,2020/12/18
353,2,20201219,2020/12/19
354,2,20201220,2020/12/20
355,2,20201221,2020/12/21
356,2,20201222,2020/12/22
357,2,20201223,2020/12/23
358,2,20201224,2020/12/24
359,2,20201225,2020/12/25
360,2,20201226,2020/12/26
361,2,20201227,2020/12/27
362,2,20201228,2020/12/28
363,2,20201229,2020/12/29
364,2,20201230,2020/12/30
365,2,20201231,2020/12/31
366,2,20210101,2021/1/1
367,2,20210102,2021/1/2
368,2,20210103,2021/1/3
369,2,20210104,2021/1/4
370,2,20210105,2021/1/5
371,2,20210106,2021/1/6
372,2,20210107,2021/1/7
373,2,20210108,2021/1/8
374,2,20210109,2021/1/9
375,2,20210110,2021/1/10
376,2,20210111,2021/1/11
377,2,20210112,2021/1/12
378,2,20210113,2021/1/13
379,2,20210114,2021/1/14
380,2,20210115,2021/1/15
381,2,20210116,2021/1/16
382,2,20210117,2021/1/17
383,2,20210118,2021/1/18
384,2,20210119,2021/1/19
385,2,20210120,2021/1/20
386,2,20210121,2021/1/21
387,2,20210122,2021/1/22
388,2,20210123,2021/1/23
389,2,20210124,2021/1/24
390,2,20210125,2021/1/25
391,2,20210126,2021/1/26
392,2,20210127,2021/1/27
393,2,20210128,2021/1/28
394,2,20210129,2021/1/29
395,2,20210130,2021/1/30
396,2,20210131,2021/1/31
397,2,20210201,2021/2/1
398,2,20210202,2021/2/2
399,2,20210203,2021/2/3
400,2,20210204,2021/2/4
401,2,20210205,2021/2/5
402,2,20210206,2021/2/6
403,2,20210207,2021/2/7
404,2,20210208,2021/2/8
405,2,20210209,2021/2/9
406,2,20210210,2021/2/10
407,2,20210211,2021/2/11
408,2,20210212,2021/2/12
409,2,20210213,2021/2/13
410,2,20210214,2021/2/14
411,3,20210215,2021/2/15
412,3,20210216,2021/2/16
413,3,20210217,2021/2/17
414,3,20210218,2021/2/18
415,3,20210219,2021/2/19
416,3,20210220,2021/2/20
417,3,20210221,2021/2/21
418,3,20210222,2021/2/22
419,3,20210223,2021/2/23
420,3,20210224,2021/2/24
421,3,20210225,2021/2/25
422,3,20210226,2021/2/26
423,3,20210227,2021/2/27
424,3,20210228,2021/2/28
425,3,20210301,2021/3/1
426,3,20210302,2021/3/2
427,3,20210303,2021/3/3
428,3,20210304,2021/3/4
429,3,20210305,2021/3/5
430,3,20210306,2021/3/6
431,3,20210307,2021/3/7
432,3,20210308,2021/3/8
433,3,20210309,2021/3/9
434,3,20210310,2021/3/10
435,3,20210311,2021/3/11
436,3,20210312,2021/3/12
437,3,20210313,2021/3/13
438,3,20210314,2021/3/14
439,3,20210315,2021/3/15
440,3,20210316,2021/3/16
441,3,20210317,2021/3/17
442,3,20210318,2021/3/18
443,3,20210319,2021/3/19
444,3,20210320,2021/3/20
445,3,20210321,2021/3/21
446,3,20210322,2021/3/22
447,3,20210323,2021/3/23
448,3,20210324,2021/3/24
449,3,20210325,2021/3/25
450,3,20210326,2021/3/26
451,3,20210327,2021/3/27
452,3,20210328,2021/3/28
453,3,20210329,2021/3/29
454,3,20210330,2021/3/30
455,3,20210331,2021/3/31
456,3,20210401,2021/4/1
457,3,20210402,2021/4/2
458,3,20210403,2021/4/3
459,3,20210404,2021/4/4
