prename,week_end,sex,age,numtotal_atleast1dose
British Columbia,2021-09-04,All sexes,80+,233778
British Columbia,2021-09-11,All sexes,0–4,0
British Columbia,2021-09-11,All sexes,05–11,8893
British Columbia,2021-09-11,All sexes,12–17,244600
British Columbia,2021-09-11,All sexes,18–29,663895
British Columbia,2021-09-11,All sexes,30–39,619462
British Columbia,2021-09-11,All sexes,40–49,552707
British Columbia,2021-09-11,All sexes,50–59,603979
British Columbia,2021-09-11,All sexes,60–69,610333
British Columbia,2021-09-11,All sexes,70–79,423388
British Columbia,2021-09-11,All sexes,80+,234547
British Columbia,2021-09-18,All sexes,0–4,0
British Columbia,2021-09-18,All sexes,05–11,8343
British Columbia,2021-09-18,All sexes,12–17,248796
British Columbia,2021-09-18,All sexes,18–29,678477
British Columbia,2021-09-18,All sexes,30–39,629646
British Columbia,2021-09-18,All sexes,40–49,558986
British Columbia,2021-09-18,All sexes,50–59,608497
British Columbia,2021-09-18,All sexes,60–69,613681
British Columbia,2021-09-18,All sexes,70–79,425285
British Columbia,2021-09-18,All sexes,80+,235490
British Columbia,2021-09-25,All sexes,0–4,0
British Columbia,2021-09-25,All sexes,05–11,7816
British Columbia,2021-09-25,All sexes,12–17,252554
British Columbia,2021-09-25,All sexes,18–29,691739
British Columbia,2021-09-25,All sexes,30–39,638323
British Columbia,2021-09-25,All sexes,40–49,564288
British Columbia,2021-09-25,All sexes,50–59,612327
British Columbia,2021-09-25,All sexes,60–69,616582
British Columbia,2021-09-25,All sexes,70–79,426934
British Columbia,2021-09-25,All sexes,80+,236447
British Columbia,2021-10-02,All sexes,0–4,0
British Columbia,2021-10-02,All sexes,05–11,7291
British Columbia,2021-10-02,All sexes,12–17,254935
British Columbia,2021-10-02,All sexes,18–29,698750
British Columbia,2021-10-02,All sexes,30–39,643645
British Columbia,2021-10-02,All sexes,40–49,567852
British Columbia,2021-10-02,All sexes,50–59,614835
British Columbia,2021-10-02,All sexes,60–69,618284
British Columbia,2021-10-02,All sexes,70–79,428170
British Columbia,2021-10-02,All sexes,80+,237199
British Columbia,2021-10-09,All sexes,0–4,0
British Columbia,2021-10-09,All sexes,05–11,6631
British Columbia,2021-10-09,All sexes,12–17,257285
British Columbia,2021-10-09,All sexes,18–29,706490
British Columbia,2021-10-09,All sexes,30–39,649527
British Columbia,2021-10-09,All sexes,40–49,571446
British Columbia,2021-10-09,All sexes,50–59,617515
British Columbia,2021-10-09,All sexes,60–69,620361
British Columbia,2021-10-09,All sexes,70–79,429484
British Columbia,2021-10-09,All sexes,80+,238089
British Columbia,2021-10-16,All sexes,0–4,0
British Columbia,2021-10-16,All sexes,05–11,6187
British Columbia,2021-10-16,All sexes,12–17,258998
British Columbia,2021-10-16,All sexes,18–29,711156
British Columbia,2021-10-16,All sexes,30–39,654033
British Columbia,2021-10-16,All sexes,40–49,574282
British Columbia,2021-10-16,All sexes,50–59,619709
British Columbia,2021-10-16,All sexes,60–69,621745
British Columbia,2021-10-16,All sexes,70–79,430391
British Columbia,2021-10-16,All sexes,80+,238683
British Columbia,2021-10-23,All sexes,0–4,0
British Columbia,2021-10-23,All sexes,05–11,5607
British Columbia,2021-10-23,All sexes,12–17,260778
British Columbia,2021-10-23,All sexes,18–29,716395
British Columbia,2021-10-23,All sexes,30–39,658706
British Columbia,2021-10-23,All sexes,40–49,577153
British Columbia,2021-10-23,All sexes,50–59,621900
British Columbia,2021-10-23,All sexes,60–69,623289
British Columbia,2021-10-23,All sexes,70–79,431420
