,C1M_School.closing,datetime
255,3,2020/9/12
256,3,2020/9/13
257,3,2020/9/14
258,3,2020/9/15
259,3,2020/9/16
260,3,2020/9/17
261,3,2020/9/18
262,3,2020/9/19
263,3,2020/9/20
264,3,2020/9/21
265,3,2020/9/22
266,3,2020/9/23
267,3,2020/9/24
268,3,2020/9/25
269,3,2020/9/26
270,3,2020/9/27
271,3,2020/9/28
272,3,2020/9/29
273,3,2020/9/30
274,3,2020/10/1
275,3,2020/10/2
276,3,2020/10/3
277,3,2020/10/4
278,3,2020/10/5
279,3,2020/10/6
280,3,2020/10/7
281,3,2020/10/8
282,3,2020/10/9
283,3,2020/10/10
284,3,2020/10/11
285,3,2020/10/12
286,3,2020/10/13
287,3,2020/10/14
288,3,2020/10/15
289,3,2020/10/16
290,3,2020/10/17
291,3,2020/10/18
292,3,2020/10/19
293,3,2020/10/20
294,3,2020/10/21
295,3,2020/10/22
296,3,2020/10/23
297,3,2020/10/24
298,3,2020/10/25
299,3,2020/10/26
300,3,2020/10/27
301,3,2020/10/28
302,3,2020/10/29
303,3,2020/10/30
304,3,2020/10/31
305,3,2020/11/1
306,3,2020/11/2
307,3,2020/11/3
308,3,2020/11/4
309,3,2020/11/5
310,3,2020/11/6
311,3,2020/11/7
312,3,2020/11/8
313,3,2020/11/9
314,3,2020/11/10
315,3,2020/11/11
316,3,2020/11/12
317,3,2020/11/13
318,3,2020/11/14
319,3,2020/11/15
320,3,2020/11/16
321,3,2020/11/17
322,3,2020/11/18
323,3,2020/11/19
324,3,2020/11/20
325,3,2020/11/21
326,3,2020/11/22
327,3,2020/11/23
328,3,2020/11/24
329,3,2020/11/25
330,3,2020/11/26
331,3,2020/11/27
332,3,2020/11/28
333,3,2020/11/29
334,3,2020/11/30
335,3,2020/12/1
336,3,2020/12/2
337,3,2020/12/3
338,3,2020/12/4
339,3,2020/12/5
340,3,2020/12/6
341,3,2020/12/7
342,3,2020/12/8
343,3,2020/12/9
344,3,2020/12/10
345,3,2020/12/11
346,3,2020/12/12
347,3,2020/12/13
348,3,2020/12/14
349,3,2020/12/15
350,3,2020/12/16
351,3,2020/12/17
352,3,2020/12/18
353,3,2020/12/19
354,3,2020/12/20
355,3,2020/12/21
356,3,2020/12/22
357,3,2020/12/23
358,3,2020/12/24
359,3,2020/12/25
360,3,2020/12/26
361,3,2020/12/27
362,3,2020/12/28
363,3,2020/12/29
364,3,2020/12/30
365,3,2020/12/31
366,3,2021/1/1
367,3,2021/1/2
368,3,2021/1/3
369,3,2021/1/4
370,3,2021/1/5
371,3,2021/1/6
372,3,2021/1/7
373,3,2021/1/8
374,3,2021/1/9
375,3,2021/1/10
376,3,2021/1/11
377,3,2021/1/12
378,3,2021/1/13
379,3,2021/1/14
380,3,2021/1/15
381,3,2021/1/16
382,3,2021/1/17
383,3,2021/1/18
384,3,2021/1/19
385,3,2021/1/20
386,3,2021/1/21
387,3,2021/1/22
388,3,2021/1/23
389,3,2021/1/24
390,3,2021/1/25
391,3,2021/1/26
392,3,2021/1/27
393,3,2021/1/28
394,3,2021/1/29
395,3,2021/1/30
396,3,2021/1/31
397,3,2021/2/1
398,3,2021/2/2
399,3,2021/2/3
400,3,2021/2/4
401,3,2021/2/5
402,3,2021/2/6
403,3,2021/2/7
404,3,2021/2/8
405,3,2021/2/9
406,3,2021/2/10
407,3,2021/2/11
408,3,2021/2/12
409,3,2021/2/13
410,3,2021/2/14
411,3,2021/2/15
412,3,2021/2/16
413,3,2021/2/17
414,3,2021/2/18
415,3,2021/2/19
416,3,2021/2/20
417,3,2021/2/21
418,3,2021/2/22
419,3,2021/2/23
420,3,2021/2/24
421,3,2021/2/25
422,3,2021/2/26
423,3,2021/2/27
424,3,2021/2/28
425,3,2021/3/1
426,3,2021/3/2
427,3,2021/3/3
428,3,2021/3/4
429,3,2021/3/5
430,3,2021/3/6
431,3,2021/3/7
432,3,2021/3/8
433,3,2021/3/9
434,3,2021/3/10
435,3,2021/3/11
436,3,2021/3/12
437,3,2021/3/13
438,3,2021/3/14
439,3,2021/3/15
440,3,2021/3/16
441,3,2021/3/17
442,3,2021/3/18
443,3,2021/3/19
444,3,2021/3/20
445,3,2021/3/21
446,3,2021/3/22
447,3,2021/3/23
448,3,2021/3/24
449,3,2021/3/25
450,3,2021/3/26
451,3,2021/3/27
452,3,2021/3/28
453,3,2021/3/29
454,3,2021/3/30
455,3,2021/3/31
456,3,2021/4/1
457,3,2021/4/2
458,3,2021/4/3
459,3,2021/4/4
460,3,2021/4/5
461,3,2021/4/6
462,3,2021/4/7
463,3,2021/4/8
464,3,2021/4/9
465,3,2021/4/10
466,3,2021/4/11
467,3,2021/4/12
468,3,2021/4/13
469,3,2021/4/14
470,3,2021/4/15
471,3,2021/4/16
472,3,2021/4/17
473,3,2021/4/18
474,2,2021/4/19
475,2,2021/4/20
476,2,2021/4/21
477,2,2021/4/22
478,2,2021/4/23
479,2,2021/4/24
480,2,2021/4/25
481,2,2021/4/26
482,2,2021/4/27
483,2,2021/4/28
484,2,2021/4/29
485,2,2021/4/30
486,2,2021/5/1
487,2,2021/5/2
488,2,2021/5/3
489,2,2021/5/4
490,2,2021/5/5
491,2,2021/5/6
492,2,2021/5/7
493,2,2021/5/8
494,2,2021/5/9
495,2,2021/5/10
496,2,2021/5/11
497,2,2021/5/12
498,2,2021/5/13
499,2,2021/5/14
500,2,2021/5/15
501,2,2021/5/16
502,2,2021/5/17
503,2,2021/5/18
504,2,2021/5/19
505,2,2021/5/20
506,2,2021/5/21
507,2,2021/5/22
508,2,2021/5/23
509,2,2021/5/24
510,2,2021/5/25
511,2,2021/5/26
512,2,2021/5/27
513,2,2021/5/28
514,2,2021/5/29
515,2,2021/5/30
516,2,2021/5/31
517,2,2021/6/1
518,2,2021/6/2
519,2,2021/6/3
520,2,2021/6/4
521,2,2021/6/5
522,2,2021/6/6
523,2,2021/6/7
524,2,2021/6/8
525,2,2021/6/9
526,2,2021/6/10
527,2,2021/6/11
528,2,2021/6/12
529,2,2021/6/13
530,2,2021/6/14
531,2,2021/6/15
532,2,2021/6/16
533,2,2021/6/17
534,2,2021/6/18
535,2,2021/6/19
536,2,2021/6/20
537,2,2021/6/21
538,2,2021/6/22
539,2,2021/6/23
540,2,2021/6/24
541,2,2021/6/25
542,2,2021/6/26
543,2,2021/6/27
544,2,2021/6/28
545,2,2021/6/29
546,2,2021/6/30
547,2,2021/7/1
548,2,2021/7/2
549,2,2021/7/3
550,2,2021/7/4
551,2,2021/7/5
552,2,2021/7/6
553,2,2021/7/7
554,2,2021/7/8
555,2,2021/7/9
556,2,2021/7/10
557,2,2021/7/11
558,2,2021/7/12
559,2,2021/7/13
560,2,2021/7/14
561,2,2021/7/15
562,2,2021/7/16
563,2,2021/7/17
564,2,2021/7/18
565,2,2021/7/19
566,2,2021/7/20
567,2,2021/7/21
568,2,2021/7/22
569,2,2021/7/23
570,2,2021/7/24
571,2,2021/7/25
572,2,2021/7/26
573,2,2021/7/27
574,2,2021/7/28
575,2,2021/7/29
576,2,2021/7/30
577,2,2021/7/31
578,2,2021/8/1
579,2,2021/8/2
580,2,2021/8/3
581,2,2021/8/4
582,2,2021/8/5
583,2,2021/8/6
584,2,2021/8/7
585,2,2021/8/8
586,2,2021/8/9
587,2,2021/8/10
588,2,2021/8/11
589,2,2021/8/12
590,2,2021/8/13
591,2,2021/8/14
592,2,2021/8/15
593,2,2021/8/16
594,2,2021/8/17
595,2,2021/8/18
596,2,2021/8/19
597,2,2021/8/20
598,2,2021/8/21
599,2,2021/8/22
600,2,2021/8/23
601,2,2021/8/24
602,2,2021/8/25
603,2,2021/8/26
604,2,2021/8/27
605,2,2021/8/28
606,2,2021/8/29
607,2,2021/8/30
608,2,2021/8/31
609,2,2021/9/1
610,2,2021/9/2
611,2,2021/9/3
612,2,2021/9/4
613,2,2021/9/5
614,2,2021/9/6
615,2,2021/9/7
616,2,2021/9/8
617,2,2021/9/9
618,2,2021/9/10
619,2,2021/9/11
620,2,2021/9/12
621,2,2021/9/13
622,2,2021/9/14
623,2,2021/9/15
624,2,2021/9/16
625,2,2021/9/17
626,2,2021/9/18
627,2,2021/9/19
628,2,2021/9/20
629,2,2021/9/21
630,2,2021/9/22
631,2,2021/9/23
632,2,2021/9/24
633,2,2021/9/25
634,2,2021/9/26
635,2,2021/9/27
636,2,2021/9/28
637,2,2021/9/29
638,2,2021/9/30
639,2,2021/10/1
640,2,2021/10/2
641,2,2021/10/3
642,2,2021/10/4
643,2,2021/10/5
644,2,2021/10/6
645,2,2021/10/7
646,2,2021/10/8
647,2,2021/10/9
648,2,2021/10/10
649,2,2021/10/11
650,2,2021/10/12
651,2,2021/10/13
652,2,2021/10/14
653,2,2021/10/15
654,2,2021/10/16
655,2,2021/10/17
656,2,2021/10/18
657,2,2021/10/19
658,2,2021/10/20
659,2,2021/10/21
660,2,2021/10/22
661,2,2021/10/23
662,2,2021/10/24
663,2,2021/10/25
664,2,2021/10/26
665,2,2021/10/27
666,2,2021/10/28
667,2,2021/10/29
668,2,2021/10/30
669,2,2021/10/31
670,2,2021/11/1
671,2,2021/11/2
672,2,2021/11/3
673,2,2021/11/4
674,2,2021/11/5
675,2,2021/11/6
676,2,2021/11/7
677,2,2021/11/8
678,2,2021/11/9
679,2,2021/11/10
680,2,2021/11/11
681,2,2021/11/12
682,2,2021/11/13
683,2,2021/11/14
684,2,2021/11/15
685,2,2021/11/16
686,2,2021/11/17
687,2,2021/11/18
688,2,2021/11/19
689,2,2021/11/20
690,2,2021/11/21
691,2,2021/11/22
692,2,2021/11/23
693,2,2021/11/24
694,2,2021/11/25
695,2,2021/11/26
696,2,2021/11/27
697,2,2021/11/28
698,2,2021/11/29
699,2,2021/11/30
700,2,2021/12/1
701,2,2021/12/2
702,2,2021/12/3
703,2,2021/12/4
704,2,2021/12/5
705,2,2021/12/6
706,2,2021/12/7
707,2,2021/12/8
708,2,2021/12/9
709,2,2021/12/10
710,2,2021/12/11
711,2,2021/12/12
712,2,2021/12/13
713,2,2021/12/14
714,2,2021/12/15
715,2,2021/12/16
716,2,2021/12/17
717,2,2021/12/18
718,2,2021/12/19
719,2,2021/12/20
720,2,2021/12/21
721,2,2021/12/22
722,2,2021/12/23
723,2,2021/12/24
724,2,2021/12/25
725,2,2021/12/26
726,2,2021/12/27
727,2,2021/12/28
728,2,2021/12/29
729,2,2021/12/30
730,2,2021/12/31
731,1,2022/1/1
732,1,2022/1/2
733,1,2022/1/3
734,1,2022/1/4
735,1,2022/1/5
736,1,2022/1/6
737,1,2022/1/7
738,1,2022/1/8
739,1,2022/1/9
740,1,2022/1/10
741,1,2022/1/11
742,1,2022/1/12
743,1,2022/1/13
744,1,2022/1/14
745,1,2022/1/15
746,1,2022/1/16
747,1,2022/1/17
748,1,2022/1/18
749,1,2022/1/19
750,1,2022/1/20
751,1,2022/1/21
752,1,2022/1/22
753,1,2022/1/23
754,1,2022/1/24
755,1,2022/1/25
756,1,2022/1/26
757,1,2022/1/27
758,1,2022/1/28
759,1,2022/1/29
760,1,2022/1/30
761,1,2022/1/31
762,1,2022/2/1
763,1,2022/2/2
764,1,2022/2/3
765,1,2022/2/4
766,1,2022/2/5
767,1,2022/2/6
768,2,2022/2/7
769,2,2022/2/8
770,2,2022/2/9
771,2,2022/2/10
772,2,2022/2/11
773,2,2022/2/12
774,2,2022/2/13
775,2,2022/2/14
776,2,2022/2/15
777,2,2022/2/16
778,2,2022/2/17
779,2,2022/2/18
780,2,2022/2/19
781,2,2022/2/20
782,2,2022/2/21
783,1,2022/2/22
784,1,2022/2/23
785,1,2022/2/24
786,1,2022/2/25
787,1,2022/2/26
788,1,2022/2/27
789,1,2022/2/28
790,1,2022/3/1
791,1,2022/3/2
792,1,2022/3/3
793,1,2022/3/4
794,1,2022/3/5
795,1,2022/3/6
796,1,2022/3/7
797,1,2022/3/8
798,1,2022/3/9
799,1,2022/3/10
800,1,2022/3/11
801,1,2022/3/12
802,1,2022/3/13
803,1,2022/3/14
804,1,2022/3/15
805,1,2022/3/16
806,1,2022/3/17
807,1,2022/3/18
808,1,2022/3/19
809,1,2022/3/20
810,1,2022/3/21
811,1,2022/3/22
812,1,2022/3/23
813,1,2022/3/24
814,1,2022/3/25
815,1,2022/3/26
816,1,2022/3/27
817,1,2022/3/28
818,1,2022/3/29
819,1,2022/3/30
820,1,2022/3/31
821,1,2022/4/1
822,1,2022/4/2
823,1,2022/4/3
824,1,2022/4/4
825,1,2022/4/5
826,1,2022/4/6
827,1,2022/4/7
828,1,2022/4/8
829,1,2022/4/9
830,1,2022/4/10
831,1,2022/4/11
832,1,2022/4/12
833,1,2022/4/13
834,1,2022/4/14
835,1,2022/4/15
836,1,2022/4/16
837,1,2022/4/17
838,1,2022/4/18
839,1,2022/4/19
840,1,2022/4/20
841,1,2022/4/21
842,1,2022/4/22
843,1,2022/4/23
844,1,2022/4/24
845,1,2022/4/25
846,1,2022/4/26
847,1,2022/4/27
848,1,2022/4/28
849,1,2022/4/29
850,1,2022/4/30
851,1,2022/5/1
852,1,2022/5/2
853,1,2022/5/3
854,1,2022/5/4
855,1,2022/5/5
856,1,2022/5/6
857,1,2022/5/7
858,1,2022/5/8
859,1,2022/5/9
860,1,2022/5/10
861,1,2022/5/11
862,1,2022/5/12
863,1,2022/5/13
864,1,2022/5/14
865,1,2022/5/15
866,1,2022/5/16
867,1,2022/5/17
868,1,2022/5/18
869,1,2022/5/19
870,1,2022/5/20
871,1,2022/5/21
872,1,2022/5/22
873,1,2022/5/23
874,1,2022/5/24
875,1,2022/5/25
876,1,2022/5/26
877,1,2022/5/27
878,1,2022/5/28
879,1,2022/5/29
880,1,2022/5/30
881,1,2022/5/31
882,1,2022/6/1
883,1,2022/6/2
884,1,2022/6/3
885,1,2022/6/4
886,1,2022/6/5
887,1,2022/6/6
888,1,2022/6/7
889,1,2022/6/8
890,1,2022/6/9
891,1,2022/6/10
892,1,2022/6/11
893,1,2022/6/12
894,0,2022/6/13
895,0,2022/6/14
896,0,2022/6/15
897,0,2022/6/16
898,0,2022/6/17
899,0,2022/6/18
900,0,2022/6/19
901,0,2022/6/20
902,0,2022/6/21
903,0,2022/6/22
904,0,2022/6/23
905,0,2022/6/24
906,0,2022/6/25
907,0,2022/6/26
908,0,2022/6/27
909,0,2022/6/28
910,0,2022/6/29
911,0,2022/6/30
912,0,2022/7/1
913,0,2022/7/2
914,0,2022/7/3
915,0,2022/7/4
916,0,2022/7/5
917,0,2022/7/6
918,0,2022/7/7
919,0,2022/7/8
920,0,2022/7/9
921,0,2022/7/10
922,0,2022/7/11
923,0,2022/7/12
924,0,2022/7/13
925,0,2022/7/14
