id,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9666,57.0,1.317693286561361,0.0023077907153519184,0.24257678975809008,6.0,25.0
9667,52.0,1.4804372581756307,0.0028046649366916185,0.30398184667421774,6.0,27.0
9668,58.0,1.4967363100592788,0.0021198495152150837,0.32947793165428313,5.0,4.0
9669,51.0,1.2501151169324527,0.003185288946483312,0.1839000018228253,7.0,35.0
9670,51.0,1.342722784633066,0.003001373179627066,0.2427672460535801,7.0,6.0
9671,53.0,1.1508279437089466,0.0028905022764318554,0.1263329836259691,5.0,4.0
9672,51.0,1.189942696398451,0.004021747082741696,0.1778663804591989,6.0,28.0
9673,61.0,1.5307532143513227,0.002068178996280203,0.3256850041570664,5.0,21.0
9674,54.0,1.522096453481134,0.0038165803111498337,0.33509565022081794,6.0,1.0
9675,60.0,1.557405695929409,0.002574510404897817,0.356924247561083,7.0,6.0
9676,46.0,1.3050089254739294,0.002972187850960845,0.2627985964378255,7.0,42.0
9677,60.0,1.290160275415122,0.0039094284831973705,0.21105429209533433,5.0,42.0
9678,53.0,1.4252295054493236,0.0036421399174880503,0.30035298714886094,6.0,7.0
9679,45.0,1.4195039807713004,0.0019528655828632735,0.2686166478026027,6.0,37.0
9680,59.0,1.5654098270409265,0.0021922450867592346,0.3571542708644061,6.0,3.0
9681,61.0,1.5580215888004176,0.0025629777720425446,0.34101631538799215,7.0,33.0
9682,47.0,1.3436652335265933,0.0027309870274894047,0.24043696532989503,5.0,40.0
9683,58.0,1.4115422695374047,0.002611794860316679,0.2763487117215179,7.0,5.0
9684,59.0,1.4651330130176001,0.002464518165783603,0.295388139100723,2.0,32.0
9685,60.0,1.3453032118316053,0.0037337091323527243,0.29025556257883117,6.0,18.0
9686,54.0,1.373204742875428,0.002771162560437827,0.2485138861770396,6.0,35.0
9687,59.0,1.164913705267292,0.0029303393317175025,0.17092355023408287,4.0,38.0
9688,60.0,1.1316466772224028,0.0022094054994805054,0.12724549202350116,6.0,34.0
9689,53.0,1.4205046960519512,0.0021692897105339416,0.3029187531863843,7.0,5.0
9690,60.0,1.1712395864936982,0.004216030498345967,0.16152288002701207,5.0,33.0
9691,38.0,1.2346320427005906,0.003120432079262477,0.1767666619704688,7.0,16.0
9692,58.0,1.2561443457480304,0.0025792447496868066,0.23842551487988412,6.0,8.0
9693,47.0,1.438250764534544,0.004035357576033607,0.2909355653374848,7.0,38.0
9694,50.0,1.1302799879000378,0.003150034529792449,0.11495477682928106,7.0,18.0
9695,61.0,1.247278923572969,0.003511432485523103,0.20365526310251583,4.0,37.0
9696,59.0,1.2763814410723642,0.002125921213585751,0.2017349497342609,7.0,40.0
9697,50.0,1.189126658781081,0.004066633081116093,0.17408700332456262,5.0,4.0
9698,46.0,1.6657841098614141,0.0020716479262414007,0.37597610192699954,7.0,21.0
