id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
6417,41.0,2.2005460743686625,-0.3787682140474393,1.5300095933064224,0.006356263847781284,1.169292110492312,0.27094501202420496,4.0
6418,29.0,2.4304481173693904,-2.1175567373788855,-4.849648187321536,0.006184590027865716,1.4311304783114185,0.3160079700842798,6.0
6419,32.0,1.884023090740338,-5.75429285849158,-2.359648949649057,0.003823387229000474,1.1203086838114074,0.20108023065124744,4.0
6420,31.0,2.421481354344256,-2.778341835508615,-0.20273788284724364,0.0009389803970852666,1.1426759664154207,0.31248002952118475,3.0
6421,48.0,2.5062398283583924,-5.697599142818238,-2.795017304600655,0.0033318629779738192,1.1883107682352578,0.348040076593148,2.0
6422,31.0,2.101970105055173,-4.800530566770753,-3.6826409315543174,0.011405823546343197,1.3183726378290082,0.26292538095068685,7.0
6423,27.0,1.8163876797052518,0.3064221417114372,-4.810944585880003,0.004435408820480773,1.153126105449622,0.17222721456772794,4.0
6424,37.0,2.12703957967434,-0.670639747716382,-9.14105741253259,0.0012659645585980932,1.1267634442021304,0.23730802407148294,1.0
6425,17.0,2.3745005097623917,-0.6853006439816317,1.7047684824672527,0.006062415541572455,1.1176688808879396,0.30967832199809386,7.0
6426,16.0,1.806813174201639,-8.114405871141116,-4.095104458791827,0.004550813971527886,1.3137629876226882,0.16103678363449214,6.0
6427,43.0,2.241146803899576,-3.574241212510801,-1.2991062869973289,0.003420755395506853,1.3947846671701492,0.3330822160259607,2.0
6428,26.0,2.650203434771908,-6.484682289364441,2.000271783257635,0.007314603166911103,1.18596031637032,0.3926760367667477,7.0
6429,27.0,2.624279388896267,-4.822877068600023,-7.197224020695014,0.009224574826600815,1.3285698145138447,0.3689809999188592,7.0
6430,50.0,2.5352759177394035,-4.272791558710192,-4.314023741564408,0.004277199244844039,1.4822137345706272,0.3594309562426127,2.0
6431,32.0,2.2574543949217745,-7.810519817231735,1.6744105414607064,0.004575526949459597,1.2108021782043608,0.2578203950873507,5.0
6432,51.0,2.148050356219579,-0.06806254224515973,-3.5635123962224426,0.0051918916289937275,1.2671941103165938,0.31059115616727784,2.0
6433,29.0,2.376289780587173,1.9933444347393494,-6.417125559839472,0.009504939377560065,1.2179115287287041,0.3434289200437844,7.0
6434,42.0,2.396378264604735,-0.35448277637343945,-7.111811372014912,0.0023925559800413413,1.3390469106993002,0.31076139862573354,2.0
6435,61.0,1.994811395664327,-3.8878578591055666,-5.947250026749682,0.005270922281442666,1.249752614787812,0.25392314359714463,0.0
6436,11.0,2.4868510858318666,-4.956177940434273,0.4315207870527487,0.003818424799841811,1.0550963227746828,0.33348853710089843,7.0
6437,24.0,2.005705614259891,-5.2008040534258,-1.2252062346307184,0.0039490564736078745,1.1681366917348277,0.2601163825310823,5.0
6438,29.0,1.9321520739106626,-6.113173477432735,1.305299940888005,0.0013263609257087674,1.0619221084350579,0.19743982836336732,3.0
6439,54.0,2.0430746264517006,-4.355890534746744,-5.436294934500678,0.006844202791900678,1.2178723604753177,0.23615831510626664,2.0
6440,30.0,2.3016764936933694,1.5928537035119024,-2.7656209509635437,0.005499810763440233,1.2446261288197207,0.28367363046291183,5.0
6441,23.0,2.030684629664387,-5.853851439878027,2.2726880675846735,0.004707729598352611,1.074972280042965,0.24319728820794523,6.0
6442,17.0,2.3083791133555236,1.0733878477605576,-3.4637492304761603,0.0041146622855158434,1.2189845019856074,0.328643872366482,7.0
6443,45.0,1.8759859014495863,-0.6803399623494831,-0.9013652877992877,0.003916049044078394,1.348242618234481,0.16398982490535047,2.0
6444,17.0,1.7717643622401453,-0.020216613165428443,0.09342526132054996,0.0021146558304978094,1.0868632560363063,0.18200372048996163,4.0
6445,61.0,2.581135325547178,0.1456577606049424,-2.001311784639664,0.005603625045780107,1.2328020474297052,0.3704071108329592,1.0
6446,6.0,2.3676766019833035,-6.358777159495393,-3.333659722350134,0.0011558417475555998,1.2071912565668275,0.2758776630890213,7.0
6447,25.0,2.482029940086689,-3.4255342954253636,-4.513851519087471,0.002916637024420118,1.4424407730586244,0.327366524776034,6.0
6448,35.0,1.9947393853534776,-8.347209212932672,-1.7014417391663805,0.0019896669190395642,1.052140235421987,0.2368039280801253,2.0
6449,41.0,2.086808974936133,-4.01845629492521,-0.4619406719729935,0.0007795212698672643,1.2000929683130528,0.2577959393644369,0.0
6450,34.0,1.8842388271177486,0.5785914545580823,-2.6536418626633855,0.00813043328691551,1.1390454765461056,0.1764010555464113,5.0
6451,50.0,1.8635644258195194,-6.032666047339729,1.7243987088464663,0.0017340555620535194,1.4683301569648197,0.16634970845066507,0.0
6452,32.0,2.4901137875876804,-4.419995082743461,-5.455266087348878,0.0027693008353207385,1.3378837864548698,0.3449652636602412,3.0
6453,22.0,2.51864652124753,-3.4435627541055283,-8.286517110301805,0.0055002004483464,1.3472493771514298,0.3818509950696942,7.0
6454,15.0,2.072852206655374,-7.706891311887061,-1.2504364452568462,0.00484241728615391,1.17841083827222,0.23853149263550077,7.0
6455,42.0,2.1058271806672697,-7.03125621799277,0.5030652966292324,0.003958442137121955,1.0133183519398796,0.2975770544543406,2.0
6456,55.0,2.462976137614683,-3.5026505591961064,-7.055037112276736,0.002780171287005033,1.3952011114502203,0.3393532048640691,1.0
6457,41.0,2.529965155601797,-6.540149746514338,-1.036042840105722,0.0038544504163145568,1.2014385835024346,0.36213361412288964,3.0
6458,47.0,2.106213796695473,-8.723710731482809,-3.0108002783876073,0.011446960637181845,1.1771303175501917,0.2790212698222619,4.0
6459,46.0,2.022215512197408,-4.0803248635836615,-2.2239176963474407,0.003989773310037862,1.3055629628410554,0.2568056548254158,1.0
6460,54.0,2.68015457365858,-0.5730019162016236,-7.934813810662779,0.002316487204075913,1.1861359489381613,0.3918538560803039,1.0
6461,30.0,2.515098591148499,0.2524637032330954,-6.341404658301274,0.002330736587014063,1.2072772738054132,0.3428129243703113,5.0
6462,35.0,2.0935819434360026,-5.873191862270876,-6.659290606995026,0.003993126291820959,1.2360316202132533,0.27359439933360885,4.0
6463,28.0,2.565739897713647,-4.336007218673033,-2.877849861581494,0.003910926654363323,1.2537657514922482,0.36442935069519033,5.0
6464,16.0,2.2766863653399336,-1.0083119560197487,-0.9320173937099621,0.0025727146991308524,1.071442908173061,0.32211166631939997,6.0
6465,39.0,2.292972964671328,0.5207725016877609,-0.22323905672351696,0.007081286778771167,1.3357533500733438,0.32397445576278017,4.0
6466,38.0,2.3352324630937615,-2.188489521022626,2.011598363300641,0.004412918889471641,1.1469275502846323,0.306921395100327,3.0
6467,30.0,2.075938960063174,-1.389773607738902,-5.141351539593128,0.0074838908803671585,1.3036132891063352,0.24676879433827698,5.0
6468,59.0,2.3059708481790784,-2.5767330348106543,1.9271587822332998,0.003574504315275431,1.0611328334512808,0.32265920613008153,0.0
6469,45.0,2.366162229852246,-0.7668528419283906,-2.162258709046446,0.004749486049689831,1.4360037124775114,0.3019897567880478,3.0
6470,25.0,2.079825979550726,-6.853818165566182,-6.5224286202537565,0.00701428376017725,1.035500823546372,0.23715649818468576,6.0
6471,21.0,1.829839115435986,1.454510553276648,1.2069190238050334,0.0010714113028476068,1.4553950996579375,0.15306670249520887,3.0
6472,53.0,2.074210626824197,-2.5102380550183705,-6.736691655840573,0.0070602700963411855,1.1252497129355497,0.2852594109718592,2.0
6473,11.0,1.9745882282303846,-6.096741025835263,-4.946435183724342,0.0050424842937164234,1.3884351712698775,0.19496738129950716,7.0
6474,26.0,2.3862533431478643,-7.210376627772869,-8.819414330242488,0.009495499721891478,1.1412561110103354,0.30242798724663694,7.0
6475,27.0,1.9254377526072277,-1.1243894994658699,0.3662664538517876,0.0021591934877949357,1.1520028729948106,0.22002576366938803,3.0
6476,55.0,2.1074601770188863,-6.624550288322365,-4.795710620782508,0.002260897836405762,1.0227135838678778,0.2346431475848635,0.0
6477,51.0,2.255010500139329,-8.161090776533308,-1.3162875887995011,0.004244658035145057,1.3276861079692583,0.3118268186511995,1.0
6478,33.0,2.508162037825198,-4.987364644266874,-3.3370033655222846,0.0031691819148113053,1.3109189059939836,0.32370211060172216,5.0
6479,47.0,2.496542332419005,-0.992477738686302,-0.5604976001456976,0.0051652283832768495,1.1048488644925916,0.3658841364948844,3.0
6480,48.0,2.3616363785211294,1.1995292938847872,-4.463005531248258,0.003894603974080295,1.026328137036605,0.2986228092711891,2.0
