id,Alpha_increase,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9158,2.4293074206929925,56.0,1.668128025325089,0.002924074993240532,0.17607608598201485,3.0,16.0
9159,2.3738667134343427,41.0,1.866350631176945,0.001978627250944795,0.24427045250671986,5.0,29.0
9160,2.150834612474461,60.0,1.7114429469052392,0.005160497952536907,0.25876221092602014,3.0,3.0
9161,2.4350397500374896,28.0,1.6165660342394803,0.0030208358669701744,0.13642049217823196,6.0,27.0
9162,2.3178450973908036,60.0,1.6237431091004297,0.004733898804298446,0.1155235621973793,5.0,15.0
9163,2.3416950263656906,51.0,1.7420916494424172,0.003100498075505925,0.22729535895839836,3.0,19.0
9164,2.3049688746162427,51.0,1.539167999369057,0.00992280525863659,0.11781946781201597,6.0,19.0
9165,2.0797304625842465,51.0,1.5935073820377137,0.0026079504002455636,0.10310972629066782,3.0,3.0
9166,2.2147706285885294,52.0,1.7700336208874696,0.010515695925242466,0.22362042808256674,7.0,4.0
9167,2.280241670958046,55.0,1.653115263472878,0.007371983084635218,0.1516586813105696,7.0,17.0
9168,1.9929106871876503,55.0,1.475729003010463,0.0030434206634932055,0.11978286456487373,1.0,25.0
9169,2.4249548930270026,52.0,1.6148335062595327,0.004029486725648189,0.16775533270019724,2.0,15.0
9170,2.220411603252466,56.0,1.4907902659362244,0.005993026361702727,0.1243304337811365,3.0,13.0
9171,2.417787742743007,46.0,1.6393437060994407,0.00818099731391307,0.19030749603050537,7.0,21.0
9172,2.395266041967112,59.0,1.549632342599431,0.007566241530319561,0.13417498323470894,6.0,34.0
9173,2.3719257549231054,49.0,1.7445740524096711,0.00364072863086446,0.1867539107487738,5.0,19.0
9174,2.2066907011742747,38.0,1.7490873884216376,0.005254380047165413,0.20656462027160433,7.0,24.0
9175,2.1909546292472317,48.0,1.600101190734827,0.005833353371178778,0.2021659538154187,5.0,16.0
9176,2.284486302363509,44.0,1.7372747188778859,0.007538230409034414,0.23820163378517764,6.0,17.0
9177,2.0642863845410546,46.0,1.5877203989131805,0.007024791789142476,0.1108054011159713,7.0,22.0
9178,2.278229188797384,56.0,1.7119490533380273,0.0062150077169359315,0.21626029417889905,4.0,13.0
9179,2.1531839332883194,52.0,1.8787711590542329,0.003135510078700778,0.2588470288817858,4.0,16.0
9180,2.323212971576137,63.0,1.9135618310711577,0.0042556541269527645,0.25208328298079546,5.0,14.0
9181,2.466420589995525,46.0,1.5369759433934655,0.006634261784790812,0.13059370378337248,5.0,19.0
